"date","musica","popul","cifra","tom","autor"
"1","0"," adriana calcanhotto 8 anos ",0,"D","D","adriana calcanhotto"
"2","0"," adriana calcanhotto 8 anos ",0,"G","D","adriana calcanhotto"
"3","0"," adriana calcanhotto 8 anos ",0,"D","D","adriana calcanhotto"
"4","0"," adriana calcanhotto 8 anos ",0,"A","D","adriana calcanhotto"
"5","0"," adriana calcanhotto 8 anos ",0,"G","D","adriana calcanhotto"
"6","0"," adriana calcanhotto 8 anos ",0,"D","D","adriana calcanhotto"
"7","0"," adriana calcanhotto 8 anos ",0,"G","D","adriana calcanhotto"
"8","0"," adriana calcanhotto 8 anos ",0,"D","D","adriana calcanhotto"
"9","0"," adriana calcanhotto 8 anos ",0,"A","D","adriana calcanhotto"
"10","0"," adriana calcanhotto 8 anos ",0,"D","D","adriana calcanhotto"
"11","0"," adriana calcanhotto 8 anos ",0,"G","D","adriana calcanhotto"
"12","0"," adriana calcanhotto 8 anos ",0,"D","D","adriana calcanhotto"
"13","0"," adriana calcanhotto 8 anos ",0,"A","D","adriana calcanhotto"
"14","0"," adriana calcanhotto 8 anos ",0,"G","D","adriana calcanhotto"
"15","0"," adriana calcanhotto 8 anos ",0,"D","D","adriana calcanhotto"
"16","0"," adriana calcanhotto 8 anos ",0,"G","D","adriana calcanhotto"
"17","0"," adriana calcanhotto 8 anos ",0,"D","D","adriana calcanhotto"
"18","0"," adriana calcanhotto 8 anos ",0,"A","D","adriana calcanhotto"
"19","0"," adriana calcanhotto 8 anos ",0,"D","D","adriana calcanhotto"
"20","0"," adriana calcanhotto 8 anos ",0,"G","D","adriana calcanhotto"
"21","0"," adriana calcanhotto 8 anos ",0,"D","D","adriana calcanhotto"
"22","0"," adriana calcanhotto 8 anos ",0,"A","D","adriana calcanhotto"
"23","0"," adriana calcanhotto 8 anos ",0,"Bb","D","adriana calcanhotto"
"24","0"," adriana calcanhotto 8 anos ",0,"A","D","adriana calcanhotto"
"25","0"," adriana calcanhotto 8 anos ",0,"G","D","adriana calcanhotto"
"26","0"," adriana calcanhotto 8 anos ",0,"D","D","adriana calcanhotto"
"27","0"," adriana calcanhotto 8 anos ",0,"G","D","adriana calcanhotto"
"28","1992-09-09"," adriana calcanhotto a fabrica do poema ",49,"Cm","D#","adriana calcanhotto"
"29","1992-09-09"," adriana calcanhotto a fabrica do poema ",49,"Ab","D#","adriana calcanhotto"
"30","1992-09-09"," adriana calcanhotto a fabrica do poema ",49,"Db7","D#","adriana calcanhotto"
"31","1992-09-09"," adriana calcanhotto a fabrica do poema ",49,"Db7/9","D#","adriana calcanhotto"
"32","1992-09-09"," adriana calcanhotto a fabrica do poema ",49,"Cm","D#","adriana calcanhotto"
"33","1992-09-09"," adriana calcanhotto a fabrica do poema ",49,"Fm","D#","adriana calcanhotto"
