"date","musica","popul","cifra","tom","autor"
"1","0"," leoni faz assim ",0,"E","E","leoni"
"2","0"," leoni faz assim ",0,"A","E","leoni"
"3","0"," leoni faz assim ",0,"E","E","leoni"
"4","0"," leoni faz assim ",0,"A9","E","leoni"
"5","0"," leoni faz assim ",0,"E","E","leoni"
"6","0"," leoni faz assim ",0,"A9","E","leoni"
"7","0"," leoni faz assim ",0,"E","E","leoni"
"8","0"," leoni faz assim ",0,"A9","E","leoni"
"9","0"," leoni faz assim ",0,"E","E","leoni"
"10","0"," leoni faz assim ",0,"A9","E","leoni"
"11","0"," leoni faz assim ",0,"C#m","E","leoni"
"12","0"," leoni faz assim ",0,"A9","E","leoni"
"13","0"," leoni faz assim ",0,"C#m","E","leoni"
"14","0"," leoni faz assim ",0,"B9","E","leoni"
"15","0"," leoni faz assim ",0,"C#m","E","leoni"
"16","0"," leoni faz assim ",0,"A9","E","leoni"
"17","0"," leoni faz assim ",0,"C#m","E","leoni"
"18","0"," leoni faz assim ",0,"B9","E","leoni"
"19","0"," leoni faz assim ",0,"E","E","leoni"
"20","0"," leoni faz assim ",0,"B9","E","leoni"
"21","0"," leoni faz assim ",0,"C#m","E","leoni"
"22","0"," leoni faz assim ",0,"A9","E","leoni"
"23","0"," leoni faz assim ",0,"E","E","leoni"
"24","0"," leoni faz assim ",0,"B9","E","leoni"
"25","0"," leoni faz assim ",0,"C#m","E","leoni"
"26","0"," leoni faz assim ",0,"A9","E","leoni"
"27","0"," leoni faz assim ",0,"Am","E","leoni"
"28","0"," leoni faz assim ",0,"E","E","leoni"
"29","2005-08-25"," leoni 40 dias no espaco ",26,"D","D","leoni"
"30","2005-08-25"," leoni 40 dias no espaco ",26,"D","D","leoni"
"31","2005-08-25"," leoni 40 dias no espaco ",26,"F#m","D","leoni"
"32","2005-08-25"," leoni 40 dias no espaco ",26,"G","D","leoni"
"33","2005-08-25"," leoni 40 dias no espaco ",26,"C","D","leoni"
"34","2005-08-25"," leoni 40 dias no espaco ",26,"F","D","leoni"
"35","2005-08-25"," leoni 40 dias no espaco ",26,"A","D","leoni"
"36","2005-08-25"," leoni 40 dias no espaco ",26,"D","D","leoni"
"37","2005-08-25"," leoni 40 dias no espaco ",26,"F#m","D","leoni"
"38","2005-08-25"," leoni 40 dias no espaco ",26,"G","D","leoni"
"39","2005-08-25"," leoni 40 dias no espaco ",26,"C","D","leoni"
"40","2005-08-25"," leoni 40 dias no espaco ",26,"F","D","leoni"
"41","2005-08-25"," leoni 40 dias no espaco ",26,"A","D","leoni"
"42","2005-08-25"," leoni 40 dias no espaco ",26,"Em","D","leoni"
"43","2005-08-25"," leoni 40 dias no espaco ",26,"A","D","leoni"
"44","2005-08-25"," leoni 40 dias no espaco ",26,"Em","D","leoni"
"45","2005-08-25"," leoni 40 dias no espaco ",26,"A","D","leoni"
"46","2005-08-25"," leoni 40 dias no espaco ",26,"D","D","leoni"
"47","2005-08-25"," leoni 40 dias no espaco ",26,"D/C","D","leoni"
"48","2005-08-25"," leoni 40 dias no espaco ",26,"G/B","D","leoni"
"49","2005-08-25"," leoni 40 dias no espaco ",26,"Gm/Bb","D","leoni"
"50","2005-08-25"," leoni 40 dias no espaco ",26,"D","D","leoni"
"51","2005-08-25"," leoni 40 dias no espaco ",26,"D/C","D","leoni"
"52","2005-08-25"," leoni 40 dias no espaco ",26,"G/B","D","leoni"
"53","2005-08-25"," leoni 40 dias no espaco ",26,"Gm/Bb","D","leoni"
"54","2005-08-25"," leoni 40 dias no espaco ",26,"D","D","leoni"
"55","2005-08-25"," leoni 40 dias no espaco ",26,"D/C","D","leoni"
"56","2005-08-25"," leoni 40 dias no espaco ",26,"G/B","D","leoni"
"57","2005-08-25"," leoni 40 dias no espaco ",26,"Gm/Bb","D","leoni"
"58","2005-08-25"," leoni 40 dias no espaco ",26,"Em","D","leoni"
"59","2005-08-25"," leoni 40 dias no espaco ",26,"A","D","leoni"
"60","2005-08-25"," leoni 40 dias no espaco ",26,"D","D","leoni"
"61","2005-08-25"," leoni 40 dias no espaco ",26,"F#m","D","leoni"
"62","2005-08-25"," leoni 40 dias no espaco ",26,"G","D","leoni"
"63","2005-08-25"," leoni 40 dias no espaco ",26,"C","D","leoni"
"64","2005-08-25"," leoni 40 dias no espaco ",26,"F","D","leoni"
"65","2005-08-25"," leoni 40 dias no espaco ",26,"A","D","leoni"
"66","2005-08-25"," leoni 40 dias no espaco ",26,"D","D","leoni"
"67","2005-08-25"," leoni 40 dias no espaco ",26,"F#m","D","leoni"
"68","2005-08-25"," leoni 40 dias no espaco ",26,"G","D","leoni"
"69","2005-08-25"," leoni 40 dias no espaco ",26,"C","D","leoni"
"70","2005-08-25"," leoni 40 dias no espaco ",26,"F","D","leoni"
"71","2005-08-25"," leoni 40 dias no espaco ",26,"A","D","leoni"
"72","2005-08-25"," leoni 50 receitas ",33,"E","C","leoni"
"73","2005-08-25"," leoni 50 receitas ",33,"Bm","C","leoni"
"74","2005-08-25"," leoni 50 receitas ",33,"A","C","leoni"
"75","2005-08-25"," leoni 50 receitas ",33,"A4","C","leoni"
"76","2005-08-25"," leoni 50 receitas ",33,"A","C","leoni"
"77","2005-08-25"," leoni 50 receitas ",33,"Am","C","leoni"
"78","2005-08-25"," leoni 50 receitas ",33,"A9","C","leoni"
"79","2005-08-25"," leoni 50 receitas ",33,"Am","C","leoni"
"80","2005-08-25"," leoni 50 receitas ",33,"E","C","leoni"
"81","2005-08-25"," leoni 50 receitas ",33,"Bm","C","leoni"
"82","2005-08-25"," leoni 50 receitas ",33,"A","C","leoni"
"83","2005-08-25"," leoni 50 receitas ",33,"Am","C","leoni"
"84","2005-08-25"," leoni 50 receitas ",33,"C9","C","leoni"
"85","2005-08-25"," leoni 50 receitas ",33,"G","C","leoni"
"86","2005-08-25"," leoni 50 receitas ",33,"C9","C","leoni"
"87","2005-08-25"," leoni 50 receitas ",33,"G","C","leoni"
"88","2005-08-25"," leoni 50 receitas ",33,"Dm","C","leoni"
"89","2005-08-25"," leoni 50 receitas ",33,"Am","C","leoni"
"90","2005-08-25"," leoni 50 receitas ",33,"F","C","leoni"
"91","2005-08-25"," leoni 50 receitas ",33,"B9","C","leoni"
"92","2005-08-25"," leoni 50 receitas ",33,"B7","C","leoni"
"93","2005-08-25"," leoni 50 receitas ",33,"Em7","C","leoni"
"94","2005-08-25"," leoni 50 receitas ",33,"D","C","leoni"
"95","2005-08-25"," leoni 50 receitas ",33,"A","C","leoni"
"96","2005-08-25"," leoni 50 receitas ",33,"Em7","C","leoni"
"97","2005-08-25"," leoni 50 receitas ",33,"D","C","leoni"
"98","2005-08-25"," leoni 50 receitas ",33,"A","C","leoni"
"99","2005-08-25"," leoni 50 receitas ",33,"E","C","leoni"
"100","2005-08-25"," leoni 50 receitas ",33,"Bm","C","leoni"
"101","2005-08-25"," leoni 50 receitas ",33,"A","C","leoni"
"102","2005-08-25"," leoni 50 receitas ",33,"Am","C","leoni"
"103","2005-08-25"," leoni 50 receitas ",33,"E","C","leoni"
