"date","musica","popul","cifra","tom","autor"
"1","0"," milton nascimento a barca dos amantes ",0,"E","A","milton nascimento"
"2","0"," milton nascimento a barca dos amantes ",0,"E/D","A","milton nascimento"
"3","0"," milton nascimento a barca dos amantes ",0,"A","A","milton nascimento"
"4","0"," milton nascimento a barca dos amantes ",0,"D","A","milton nascimento"
"5","0"," milton nascimento a barca dos amantes ",0,"E","A","milton nascimento"
"6","0"," milton nascimento a barca dos amantes ",0,"C","A","milton nascimento"
"7","0"," milton nascimento a barca dos amantes ",0,"D","A","milton nascimento"
"8","0"," milton nascimento a barca dos amantes ",0,"A","A","milton nascimento"
"9","0"," milton nascimento a barca dos amantes ",0,"D","A","milton nascimento"
"10","0"," milton nascimento a barca dos amantes ",0,"F°","A","milton nascimento"
"11","0"," milton nascimento a barca dos amantes ",0,"A","A","milton nascimento"
"12","0"," milton nascimento a barca dos amantes ",0,"Esus","A","milton nascimento"
"13","0"," milton nascimento a barca dos amantes ",0,"E/D","A","milton nascimento"
"14","0"," milton nascimento a barca dos amantes ",0,"A","A","milton nascimento"
"15","0"," milton nascimento a barca dos amantes ",0,"D","A","milton nascimento"
"16","0"," milton nascimento a barca dos amantes ",0,"E","A","milton nascimento"
"17","0"," milton nascimento a barca dos amantes ",0,"C","A","milton nascimento"
"18","0"," milton nascimento a barca dos amantes ",0,"D","A","milton nascimento"
"19","0"," milton nascimento a barca dos amantes ",0,"A","A","milton nascimento"
"20","0"," milton nascimento a barca dos amantes ",0,"D","A","milton nascimento"
"21","0"," milton nascimento a barca dos amantes ",0,"F°","A","milton nascimento"
"22","0"," milton nascimento a barca dos amantes ",0,"A","A","milton nascimento"
"23","0"," milton nascimento a barca dos amantes ",0,"A/G#","A","milton nascimento"
"24","0"," milton nascimento a barca dos amantes ",0,"F#m","A","milton nascimento"
"25","0"," milton nascimento a barca dos amantes ",0,"F#m7M","A","milton nascimento"
"26","0"," milton nascimento a barca dos amantes ",0,"F#m7","A","milton nascimento"
"27","0"," milton nascimento a barca dos amantes ",0,"F#m6","A","milton nascimento"
"28","0"," milton nascimento a barca dos amantes ",0,"D/C#","A","milton nascimento"
"29","0"," milton nascimento a barca dos amantes ",0,"Bm","A","milton nascimento"
"30","0"," milton nascimento a barca dos amantes ",0,"Bm/A","A","milton nascimento"
"31","0"," milton nascimento a barca dos amantes ",0,"F#m","A","milton nascimento"
"32","0"," milton nascimento a barca dos amantes ",0,"F#m/E","A","milton nascimento"
"33","0"," milton nascimento a barca dos amantes ",0,"D","A","milton nascimento"
"34","0"," milton nascimento a barca dos amantes ",0,"Bm","A","milton nascimento"
"35","0"," milton nascimento a barca dos amantes ",0,"F#sus","A","milton nascimento"
"36","0"," milton nascimento a barca dos amantes ",0,"F#","A","milton nascimento"
"37","0"," milton nascimento a barca dos amantes ",0,"E","A","milton nascimento"
"38","0"," milton nascimento a barca dos amantes ",0,"D/F#","A","milton nascimento"
"39","0"," milton nascimento a barca dos amantes ",0,"E","A","milton nascimento"
"40","0"," milton nascimento a barca dos amantes ",0,"A","A","milton nascimento"
"41","0"," milton nascimento a barca dos amantes ",0,"D","A","milton nascimento"
"42","0"," milton nascimento a barca dos amantes ",0,"E","A","milton nascimento"
"43","0"," milton nascimento a barca dos amantes ",0,"C","A","milton nascimento"
"44","0"," milton nascimento a barca dos amantes ",0,"D","A","milton nascimento"
"45","0"," milton nascimento a barca dos amantes ",0,"A","A","milton nascimento"
"46","0"," milton nascimento a barca dos amantes ",0,"D","A","milton nascimento"
"47","0"," milton nascimento a barca dos amantes ",0,"F°","A","milton nascimento"
"48","0"," milton nascimento a barca dos amantes ",0,"A","A","milton nascimento"
"49","0"," milton nascimento a barca dos amantes ",0,"Esus","A","milton nascimento"
"50","0"," milton nascimento a barca dos amantes ",0,"E/D","A","milton nascimento"
"51","0"," milton nascimento a barca dos amantes ",0,"A","A","milton nascimento"
"52","0"," milton nascimento a barca dos amantes ",0,"D","A","milton nascimento"
"53","0"," milton nascimento a barca dos amantes ",0,"E","A","milton nascimento"
"54","0"," milton nascimento a barca dos amantes ",0,"C","A","milton nascimento"
"55","0"," milton nascimento a barca dos amantes ",0,"D","A","milton nascimento"
"56","0"," milton nascimento a barca dos amantes ",0,"E","A","milton nascimento"
"57","0"," milton nascimento a barca dos amantes ",0,"A7","A","milton nascimento"
"58","0"," milton nascimento a barca dos amantes ",0,"D","A","milton nascimento"
"59","0"," milton nascimento a barca dos amantes ",0,"F°","A","milton nascimento"
"60","0"," milton nascimento a barca dos amantes ",0,"A","A","milton nascimento"
"61","1981"," milton nascimento a festa ",8,"D","A","milton nascimento"
"62","1981"," milton nascimento a festa ",8,"E","A","milton nascimento"
"63","1981"," milton nascimento a festa ",8,"A","A","milton nascimento"
"64","1981"," milton nascimento a festa ",8,"D","A","milton nascimento"
