"date","musica","popul","cifra","tom","autor"
"1","2015-05-28"," simone a bicicleta ",16,"G","C","simone"
"2","2015-05-28"," simone a bicicleta ",16,"G7","C","simone"
"3","2015-05-28"," simone a bicicleta ",16,"C7+","C","simone"
"4","2015-05-28"," simone a bicicleta ",16,"C#º","C","simone"
"5","2015-05-28"," simone a bicicleta ",16,"Bm","C","simone"
"6","2015-05-28"," simone a bicicleta ",16,"E7","C","simone"
"7","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"8","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"9","2015-05-28"," simone a bicicleta ",16,"G","C","simone"
"10","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"11","2015-05-28"," simone a bicicleta ",16,"Bm","C","simone"
"12","2015-05-28"," simone a bicicleta ",16,"E7","C","simone"
"13","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"14","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"15","2015-05-28"," simone a bicicleta ",16,"G","C","simone"
"16","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"17","2015-05-28"," simone a bicicleta ",16,"G","C","simone"
"18","2015-05-28"," simone a bicicleta ",16,"Bm","C","simone"
"19","2015-05-28"," simone a bicicleta ",16,"Bbº","C","simone"
"20","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"21","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"22","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"23","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"24","2015-05-28"," simone a bicicleta ",16,"G","C","simone"
"25","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"26","2015-05-28"," simone a bicicleta ",16,"G","C","simone"
"27","2015-05-28"," simone a bicicleta ",16,"Bm","C","simone"
"28","2015-05-28"," simone a bicicleta ",16,"Bbº","C","simone"
"29","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"30","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"31","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"32","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"33","2015-05-28"," simone a bicicleta ",16,"G","C","simone"
"34","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"35","2015-05-28"," simone a bicicleta ",16,"Bm","C","simone"
"36","2015-05-28"," simone a bicicleta ",16,"G7","C","simone"
"37","2015-05-28"," simone a bicicleta ",16,"C","C","simone"
"38","2015-05-28"," simone a bicicleta ",16,"D/C","C","simone"
"39","2015-05-28"," simone a bicicleta ",16,"G/B","C","simone"
"40","2015-05-28"," simone a bicicleta ",16,"Em","C","simone"
"41","2015-05-28"," simone a bicicleta ",16,"C#m","C","simone"
"42","2015-05-28"," simone a bicicleta ",16,"F#7","C","simone"
"43","2015-05-28"," simone a bicicleta ",16,"Bm","C","simone"
"44","2015-05-28"," simone a bicicleta ",16,"Bbm","C","simone"
"45","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"46","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"47","2015-05-28"," simone a bicicleta ",16,"Bm","C","simone"
"48","2015-05-28"," simone a bicicleta ",16,"E7","C","simone"
"49","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"50","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"51","2015-05-28"," simone a bicicleta ",16,"G","C","simone"
"52","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"53","2015-05-28"," simone a bicicleta ",16,"G","C","simone"
"54","2015-05-28"," simone a bicicleta ",16,"Bm","C","simone"
"55","2015-05-28"," simone a bicicleta ",16,"Bbº","C","simone"
"56","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"57","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"58","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"59","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"60","2015-05-28"," simone a bicicleta ",16,"G","C","simone"
"61","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"62","2015-05-28"," simone a bicicleta ",16,"G","C","simone"
"63","2015-05-28"," simone a bicicleta ",16,"Bm","C","simone"
"64","2015-05-28"," simone a bicicleta ",16,"Bbº","C","simone"
"65","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"66","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"67","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"68","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"69","2015-05-28"," simone a bicicleta ",16,"G","C","simone"
"70","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"71","2015-05-28"," simone a bicicleta ",16,"Bm","C","simone"
"72","2015-05-28"," simone a bicicleta ",16,"G7","C","simone"
"73","2015-05-28"," simone a bicicleta ",16,"C","C","simone"
"74","2015-05-28"," simone a bicicleta ",16,"D/C","C","simone"
"75","2015-05-28"," simone a bicicleta ",16,"G/B","C","simone"
"76","2015-05-28"," simone a bicicleta ",16,"Em","C","simone"
"77","2015-05-28"," simone a bicicleta ",16,"C#m","C","simone"
"78","2015-05-28"," simone a bicicleta ",16,"F#7","C","simone"
"79","2015-05-28"," simone a bicicleta ",16,"Bm","C","simone"
"80","2015-05-28"," simone a bicicleta ",16,"Bbm","C","simone"
"81","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"82","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"83","2015-05-28"," simone a bicicleta ",16,"Bm","C","simone"
"84","2015-05-28"," simone a bicicleta ",16,"E7","C","simone"
"85","2015-05-28"," simone a bicicleta ",16,"Am","C","simone"
"86","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"87","2015-05-28"," simone a bicicleta ",16,"G","C","simone"
"88","2015-05-28"," simone a bicicleta ",16,"D7","C","simone"
"89","2015-05-28"," simone a bicicleta ",16,"Cm","C","simone"
"90","2015-05-28"," simone a bicicleta ",16,"F7","C","simone"
"91","2015-05-28"," simone a bicicleta ",16,"Bbm","C","simone"
"92","2015-05-28"," simone a bicicleta ",16,"Eb7","C","simone"
"93","2015-05-28"," simone a bicicleta ",16,"Ab","C","simone"
"94","2015-05-28"," simone a bicicleta ",16,"Ab","C","simone"
"95","2015-05-28"," simone a bicicleta ",16,"Cm","C","simone"
"96","2015-05-28"," simone a bicicleta ",16,"Bbº","C","simone"
"97","2015-05-28"," simone a bicicleta ",16,"Bbm","C","simone"
