"date","musica","popul","cifra","tom","autor"
"1","2017-04-21"," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"2","2017-04-21"," felipe araujo alcontece ",49,"F","C","felipe araujo"
"3","2017-04-21"," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"4","2017-04-21"," felipe araujo alcontece ",49,"F","C","felipe araujo"
"5","2017-04-21"," felipe araujo alcontece ",49,"E","C","felipe araujo"
"6","2017-04-21"," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"7","2017-04-21"," felipe araujo alcontece ",49,"F","C","felipe araujo"
"8","2017-04-21"," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"9","2017-04-21"," felipe araujo alcontece ",49,"F","C","felipe araujo"
"10","2017-04-21"," felipe araujo alcontece ",49,"E","C","felipe araujo"
"11","2017-04-21"," felipe araujo alcontece ",49,"F","C","felipe araujo"
"12","2017-04-21"," felipe araujo alcontece ",49,"G","C","felipe araujo"
"13","2017-04-21"," felipe araujo alcontece ",49,"F","C","felipe araujo"
"14","2017-04-21"," felipe araujo alcontece ",49,"E","C","felipe araujo"
"15","2017-04-21"," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"16","2017-04-21"," felipe araujo alcontece ",49,"F","C","felipe araujo"
"17","2017-04-21"," felipe araujo alcontece ",49,"C","C","felipe araujo"
"18","2017-04-21"," felipe araujo alcontece ",49,"G","C","felipe araujo"
"19","2017-04-21"," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"20","2017-04-21"," felipe araujo alcontece ",49,"F","C","felipe araujo"
"21","2017-04-21"," felipe araujo alcontece ",49,"E","C","felipe araujo"
"22","2017-04-21"," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"23","2017-04-21"," felipe araujo alcontece ",49,"F","C","felipe araujo"
"24","2017-04-21"," felipe araujo alcontece ",49,"C","C","felipe araujo"
"25","2017-04-21"," felipe araujo alcontece ",49,"G","C","felipe araujo"
"26","2017-04-21"," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"27","2017-04-21"," felipe araujo alcontece ",49,"F","C","felipe araujo"
"28","2017-04-21"," felipe araujo alcontece ",49,"C","C","felipe araujo"
"29","2017-04-21"," felipe araujo alcontece ",49,"G","C","felipe araujo"
"30","2017-04-21"," felipe araujo alcontece ",49,"Dm","C","felipe araujo"
"31","2017-04-21"," felipe araujo alcontece ",49,"F","C","felipe araujo"
"32","2017-04-21"," felipe araujo alcontece ",49,"E","C","felipe araujo"
"33","2017-04-21"," felipe araujo alcontece ",49,"F","C","felipe araujo"
"34","2017-04-21"," felipe araujo alcontece ",49,"E","C","felipe araujo"
"35","2017-04-21"," felipe araujo alcontece ",49,"F","C","felipe araujo"
"36","2017-04-21"," felipe araujo alcontece ",49,"E","C","felipe araujo"
"37","2017-04-21"," felipe araujo alcontece ",49,"F","C","felipe araujo"
"38","2017-04-21"," felipe araujo alcontece ",49,"Am","C","felipe araujo"
"39","2017-04-21"," felipe araujo amante fiel ",44,"C#","D","felipe araujo"
"40","2017-04-21"," felipe araujo amante fiel ",44,"Fm","D","felipe araujo"
"41","2017-04-21"," felipe araujo amante fiel ",44,"D#m","D","felipe araujo"
"42","2017-04-21"," felipe araujo amante fiel ",44,"F#","D","felipe araujo"
"43","2017-04-21"," felipe araujo amante fiel ",44,"G#","D","felipe araujo"
"44","2017-04-21"," felipe araujo amante fiel ",44,"C#","D","felipe araujo"
"45","2017-04-21"," felipe araujo amante fiel ",44,"G#","D","felipe araujo"
"46","2017-04-21"," felipe araujo amante fiel ",44,"D#m","D","felipe araujo"
"47","2017-04-21"," felipe araujo amante fiel ",44,"F#","D","felipe araujo"
"48","2017-04-21"," felipe araujo amante fiel ",44,"Bbm","D","felipe araujo"
"49","2017-04-21"," felipe araujo amante fiel ",44,"G#","D","felipe araujo"
"50","2017-04-21"," felipe araujo amante fiel ",44,"C#","D","felipe araujo"
"51","2017-04-21"," felipe araujo amante fiel ",44,"G#","D","felipe araujo"
"52","2017-04-21"," felipe araujo amante fiel ",44,"D#m","D","felipe araujo"
"53","2017-04-21"," felipe araujo amante fiel ",44,"F#","D","felipe araujo"
"54","2017-04-21"," felipe araujo amante fiel ",44,"Bbm","D","felipe araujo"
