"date","musica","popul","cifra","tom","autor"
"1","2015-07-17"," gusttavo lima 10 anos ",46,"Bm","D","gusttavo lima"
"2","2015-07-17"," gusttavo lima 10 anos ",46,"G","D","gusttavo lima"
"3","2015-07-17"," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"4","2015-07-17"," gusttavo lima 10 anos ",46,"A","D","gusttavo lima"
"5","2015-07-17"," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"6","2015-07-17"," gusttavo lima 10 anos ",46,"F#m","D","gusttavo lima"
"7","2015-07-17"," gusttavo lima 10 anos ",46,"Bm","D","gusttavo lima"
"8","2015-07-17"," gusttavo lima 10 anos ",46,"G","D","gusttavo lima"
"9","2015-07-17"," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"10","2015-07-17"," gusttavo lima 10 anos ",46,"F#m","D","gusttavo lima"
"11","2015-07-17"," gusttavo lima 10 anos ",46,"Bm","D","gusttavo lima"
"12","2015-07-17"," gusttavo lima 10 anos ",46,"G","D","gusttavo lima"
"13","2015-07-17"," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"14","2015-07-17"," gusttavo lima 10 anos ",46,"F#m","D","gusttavo lima"
"15","2015-07-17"," gusttavo lima 10 anos ",46,"Bm","D","gusttavo lima"
"16","2015-07-17"," gusttavo lima 10 anos ",46,"G","D","gusttavo lima"
"17","2015-07-17"," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"18","2015-07-17"," gusttavo lima 10 anos ",46,"A","D","gusttavo lima"
"19","2015-07-17"," gusttavo lima 10 anos ",46,"Bm","D","gusttavo lima"
"20","2015-07-17"," gusttavo lima 10 anos ",46,"G","D","gusttavo lima"
"21","2015-07-17"," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"22","2015-07-17"," gusttavo lima 10 anos ",46,"A","D","gusttavo lima"
"23","2015-07-17"," gusttavo lima 10 anos ",46,"D","D","gusttavo lima"
"24","2015-07-17"," gusttavo lima 10 anos ",46,"F#m","D","gusttavo lima"
"25","2015-07-17"," gusttavo lima 10 anos ",46,"Bm","D","gusttavo lima"
