"date","musica","popul","cifra","tom","autor"
"1","2014-09-01"," jads e jadson agora ela chora ",34,"A","E","jads e jadson"
"2","2014-09-01"," jads e jadson agora ela chora ",34,"E","E","jads e jadson"
"3","2014-09-01"," jads e jadson agora ela chora ",34,"F#","E","jads e jadson"
"4","2014-09-01"," jads e jadson agora ela chora ",34,"A","E","jads e jadson"
"5","2014-09-01"," jads e jadson agora ela chora ",34,"B7","E","jads e jadson"
"6","2014-09-01"," jads e jadson agora ela chora ",34,"E","E","jads e jadson"
"7","2014-09-01"," jads e jadson agora ela chora ",34,"A","E","jads e jadson"
"8","2014-09-01"," jads e jadson agora ela chora ",34,"E","E","jads e jadson"
"9","2014-09-01"," jads e jadson agora ela chora ",34,"B7","E","jads e jadson"
"10","2014-09-01"," jads e jadson agora ela chora ",34,"A","E","jads e jadson"
"11","2014-09-01"," jads e jadson agora ela chora ",34,"G#m","E","jads e jadson"
"12","2014-09-01"," jads e jadson agora ela chora ",34,"F#m","E","jads e jadson"
"13","2014-09-01"," jads e jadson agora ela chora ",34,"E5","E","jads e jadson"
"14","2014-09-01"," jads e jadson agora ela chora ",34,"D#5","E","jads e jadson"
"15","2014-09-01"," jads e jadson agora ela chora ",34,"C#5","E","jads e jadson"
"16","2014-09-01"," jads e jadson agora ela chora ",34,"B7","E","jads e jadson"
"17","2014-09-01"," jads e jadson agora ela chora ",34,"E","E","jads e jadson"
"18","2014-09-01"," jads e jadson agora ela chora ",34,"B7","E","jads e jadson"
"19","2014-09-01"," jads e jadson agora ela chora ",34,"F#m","E","jads e jadson"
"20","2014-09-01"," jads e jadson agora ela chora ",34,"A","E","jads e jadson"
"21","2014-09-01"," jads e jadson agora ela chora ",34,"E","E","jads e jadson"
"22","2014-09-01"," jads e jadson agora ela chora ",34,"E","E","jads e jadson"
"23","2014-09-01"," jads e jadson agora ela chora ",34,"A","E","jads e jadson"
"24","2014-09-01"," jads e jadson agora ela chora ",34,"E","E","jads e jadson"
"25","2014-09-01"," jads e jadson agora ela chora ",34,"B7","E","jads e jadson"
"26","2014-09-01"," jads e jadson agora ela chora ",34,"E","E","jads e jadson"
"27","2014-09-01"," jads e jadson agora ela chora ",34,"A","E","jads e jadson"
"28","2014-09-01"," jads e jadson agora ela chora ",34,"G#m","E","jads e jadson"
