"date","musica","popul","cifra","tom","autor"
"1","0"," jorge mateus 200 por hora ",0,"Em","G","jorge mateus"
"2","0"," jorge mateus 200 por hora ",0,"D/F#","G","jorge mateus"
"3","0"," jorge mateus 200 por hora ",0,"C","G","jorge mateus"
"4","0"," jorge mateus 200 por hora ",0,"Am","G","jorge mateus"
"5","0"," jorge mateus 200 por hora ",0,"B7","G","jorge mateus"
"6","0"," jorge mateus 200 por hora ",0,"Em","G","jorge mateus"
"7","0"," jorge mateus 200 por hora ",0,"C","G","jorge mateus"
"8","0"," jorge mateus 200 por hora ",0,"D","G","jorge mateus"
"9","0"," jorge mateus 200 por hora ",0,"Em","G","jorge mateus"
"10","0"," jorge mateus 200 por hora ",0,"D","G","jorge mateus"
"11","0"," jorge mateus 200 por hora ",0,"C","G","jorge mateus"
"12","0"," jorge mateus 200 por hora ",0,"G","G","jorge mateus"
"13","0"," jorge mateus 200 por hora ",0,"D","G","jorge mateus"
"14","0"," jorge mateus 200 por hora ",0,"Bm","G","jorge mateus"
"15","0"," jorge mateus 200 por hora ",0,"C","G","jorge mateus"
"16","0"," jorge mateus 200 por hora ",0,"Em","G","jorge mateus"
"17","0"," jorge mateus 200 por hora ",0,"D","G","jorge mateus"
"18","0"," jorge mateus 200 por hora ",0,"G","G","jorge mateus"
"19","0"," jorge mateus 200 por hora ",0,"D","G","jorge mateus"
"20","0"," jorge mateus 200 por hora ",0,"G","G","jorge mateus"
"21","0"," jorge mateus 200 por hora ",0,"D/F#","G","jorge mateus"
"22","0"," jorge mateus 200 por hora ",0,"Em","G","jorge mateus"
"23","0"," jorge mateus 200 por hora ",0,"C","G","jorge mateus"
"24","0"," jorge mateus 200 por hora ",0,"G","G","jorge mateus"
"25","0"," jorge mateus 200 por hora ",0,"A","G","jorge mateus"
"26","0"," jorge mateus 200 por hora ",0,"C","G","jorge mateus"
"27","0"," jorge mateus 200 por hora ",0,"D","G","jorge mateus"
"28","0"," jorge mateus 200 por hora ",0,"G","G","jorge mateus"
