"date","musica","popul","cifra","tom","autor"
"1","0"," luan santana 100 voce ",0,"E","E","luan santana"
"2","0"," luan santana 100 voce ",0,"E4","E","luan santana"
"3","0"," luan santana 100 voce ",0,"E","E","luan santana"
"4","0"," luan santana 100 voce ",0,"E","E","luan santana"
"5","0"," luan santana 100 voce ",0,"B","E","luan santana"
"6","0"," luan santana 100 voce ",0,"C#m","E","luan santana"
"7","0"," luan santana 100 voce ",0,"B","E","luan santana"
"8","0"," luan santana 100 voce ",0,"A","E","luan santana"
"9","0"," luan santana 100 voce ",0,"E","E","luan santana"
"10","0"," luan santana 100 voce ",0,"B","E","luan santana"
"11","0"," luan santana 100 voce ",0,"A","E","luan santana"
"12","0"," luan santana 100 voce ",0,"B","E","luan santana"
"13","0"," luan santana 100 voce ",0,"C#m","E","luan santana"
"14","0"," luan santana 100 voce ",0,"B","E","luan santana"
"15","0"," luan santana 100 voce ",0,"C#m","E","luan santana"
"16","0"," luan santana 100 voce ",0,"B","E","luan santana"
"17","0"," luan santana 100 voce ",0,"C#m","E","luan santana"
"18","0"," luan santana 100 voce ",0,"A","E","luan santana"
"19","0"," luan santana 100 voce ",0,"B","E","luan santana"
"20","0"," luan santana 100 voce ",0,"E","E","luan santana"
"21","0"," luan santana 100 voce ",0,"B","E","luan santana"
"22","0"," luan santana 100 voce ",0,"C#m","E","luan santana"
"23","0"," luan santana 100 voce ",0,"B","E","luan santana"
"24","0"," luan santana 100 voce ",0,"A","E","luan santana"
"25","0"," luan santana 100 voce ",0,"E","E","luan santana"
"26","0"," luan santana 100 voce ",0,"B","E","luan santana"
"27","0"," luan santana 100 voce ",0,"C#m","E","luan santana"
"28","0"," luan santana 100 voce ",0,"B","E","luan santana"
"29","0"," luan santana 100 voce ",0,"A","E","luan santana"
"30","0"," luan santana 100 voce ",0,"B","E","luan santana"
"31","0"," luan santana 100 voce ",0,"E","E","luan santana"
"32","0"," luan santana 2050 ",0,"C","C","luan santana"
"33","0"," luan santana 2050 ",0,"Dm","C","luan santana"
"34","0"," luan santana 2050 ",0,"F","C","luan santana"
"35","0"," luan santana 2050 ",0,"G","C","luan santana"
"36","0"," luan santana 2050 ",0,"C","C","luan santana"
"37","0"," luan santana 2050 ",0,"Dm","C","luan santana"
"38","0"," luan santana 2050 ",0,"F","C","luan santana"
"39","0"," luan santana 2050 ",0,"G","C","luan santana"
"40","0"," luan santana 2050 ",0,"C","C","luan santana"
"41","0"," luan santana 2050 ",0,"F","C","luan santana"
"42","0"," luan santana 2050 ",0,"Dm","C","luan santana"
"43","0"," luan santana 2050 ",0,"F","C","luan santana"
"44","0"," luan santana 2050 ",0,"G","C","luan santana"
"45","0"," luan santana 2050 ",0,"C","C","luan santana"
"46","0"," luan santana 2050 ",0,"F","C","luan santana"
"47","0"," luan santana 2050 ",0,"Dm","C","luan santana"
"48","0"," luan santana 2050 ",0,"F","C","luan santana"
"49","0"," luan santana 2050 ",0,"G","C","luan santana"
"50","0"," luan santana 2050 ",0,"C","C","luan santana"
"51","2012-03-01"," luan santana 24 horas ",38,"D","D","luan santana"
"52","2012-03-01"," luan santana 24 horas ",38,"A","D","luan santana"
"53","2012-03-01"," luan santana 24 horas ",38,"Bm","D","luan santana"
"54","2012-03-01"," luan santana 24 horas ",38,"G","D","luan santana"
"55","2012-03-01"," luan santana 24 horas ",38,"D","D","luan santana"
"56","2012-03-01"," luan santana 24 horas ",38,"F#m","D","luan santana"
"57","2012-03-01"," luan santana 24 horas ",38,"Em","D","luan santana"
"58","2012-03-01"," luan santana 24 horas ",38,"A","D","luan santana"
"59","2012-03-01"," luan santana 24 horas ",38,"D","D","luan santana"
"60","2012-03-01"," luan santana 24 horas ",38,"F#m","D","luan santana"
"61","2012-03-01"," luan santana 24 horas ",38,"Em","D","luan santana"
"62","2012-03-01"," luan santana 24 horas ",38,"A","D","luan santana"
"63","2012-03-01"," luan santana 24 horas ",38,"G","D","luan santana"
"64","2012-03-01"," luan santana 24 horas ",38,"Bm","D","luan santana"
"65","2012-03-01"," luan santana 24 horas ",38,"Em","D","luan santana"
"66","2012-03-01"," luan santana 24 horas ",38,"A","D","luan santana"
"67","2012-03-01"," luan santana 24 horas ",38,"D","D","luan santana"
"68","2012-03-01"," luan santana 24 horas ",38,"A","D","luan santana"
"69","2012-03-01"," luan santana 24 horas ",38,"Bm","D","luan santana"
"70","2012-03-01"," luan santana 24 horas ",38,"G","D","luan santana"
"71","2012-03-01"," luan santana 24 horas ",38,"D","D","luan santana"
"72","2012-03-01"," luan santana 24 horas ",38,"A","D","luan santana"
"73","2012-03-01"," luan santana 24 horas ",38,"Bm","D","luan santana"
"74","2012-03-01"," luan santana 24 horas ",38,"G","D","luan santana"
"75","2012-03-01"," luan santana 24 horas ",38,"D","D","luan santana"
"76","2012-03-01"," luan santana 24 horas ",38,"F#m","D","luan santana"
"77","2012-03-01"," luan santana 24 horas ",38,"Em","D","luan santana"
"78","2012-03-01"," luan santana 24 horas ",38,"A","D","luan santana"
"79","2012-03-01"," luan santana 24 horas ",38,"G","D","luan santana"
"80","2012-03-01"," luan santana 24 horas ",38,"Bm","D","luan santana"
"81","2012-03-01"," luan santana 24 horas ",38,"Em","D","luan santana"
"82","2012-03-01"," luan santana 24 horas ",38,"A","D","luan santana"
"83","2012-03-01"," luan santana 24 horas ",38,"D","D","luan santana"
