"date","musica","popul","cifra","tom","autor"
"1","0"," matheus kauan a nossa praia  amar ",0,"F#m","A","matheus kauan"
"2","0"," matheus kauan a nossa praia  amar ",0,"E","A","matheus kauan"
"3","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"4","0"," matheus kauan a nossa praia  amar ",0,"A9","A","matheus kauan"
"5","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"6","0"," matheus kauan a nossa praia  amar ",0,"F#m","A","matheus kauan"
"7","0"," matheus kauan a nossa praia  amar ",0,"E","A","matheus kauan"
"8","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"9","0"," matheus kauan a nossa praia  amar ",0,"A9","A","matheus kauan"
"10","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"11","0"," matheus kauan a nossa praia  amar ",0,"F#m","A","matheus kauan"
"12","0"," matheus kauan a nossa praia  amar ",0,"E","A","matheus kauan"
"13","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"14","0"," matheus kauan a nossa praia  amar ",0,"A9","A","matheus kauan"
"15","0"," matheus kauan a nossa praia  amar ",0,"Bm","A","matheus kauan"
"16","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"17","0"," matheus kauan a nossa praia  amar ",0,"A9","A","matheus kauan"
"18","0"," matheus kauan a nossa praia  amar ",0,"E","A","matheus kauan"
"19","0"," matheus kauan a nossa praia  amar ",0,"A9","A","matheus kauan"
"20","0"," matheus kauan a nossa praia  amar ",0,"Bm","A","matheus kauan"
"21","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"22","0"," matheus kauan a nossa praia  amar ",0,"A9","A","matheus kauan"
"23","0"," matheus kauan a nossa praia  amar ",0,"E","A","matheus kauan"
"24","0"," matheus kauan a nossa praia  amar ",0,"F#m","A","matheus kauan"
"25","0"," matheus kauan a nossa praia  amar ",0,"E","A","matheus kauan"
"26","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"27","0"," matheus kauan a nossa praia  amar ",0,"F#m","A","matheus kauan"
"28","0"," matheus kauan a nossa praia  amar ",0,"E","A","matheus kauan"
"29","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"30","0"," matheus kauan a nossa praia  amar ",0,"A9","A","matheus kauan"
"31","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"32","0"," matheus kauan a nossa praia  amar ",0,"F#m","A","matheus kauan"
"33","0"," matheus kauan a nossa praia  amar ",0,"E","A","matheus kauan"
"34","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"35","0"," matheus kauan a nossa praia  amar ",0,"A9","A","matheus kauan"
"36","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"37","0"," matheus kauan a nossa praia  amar ",0,"F#m","A","matheus kauan"
"38","0"," matheus kauan a nossa praia  amar ",0,"E","A","matheus kauan"
"39","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"40","0"," matheus kauan a nossa praia  amar ",0,"A9","A","matheus kauan"
"41","0"," matheus kauan a nossa praia  amar ",0,"Bm","A","matheus kauan"
"42","0"," matheus kauan a nossa praia  amar ",0,"D","A","matheus kauan"
"43","0"," matheus kauan a nossa praia  amar ",0,"A","A","matheus kauan"
"44","0"," matheus kauan a nossa praia  amar ",0,"E","A","matheus kauan"
"45","0"," matheus kauan a nossa praia  amar ",0,"A9","A","matheus kauan"
"46","0"," matheus kauan a nossa praia  amar ",0,"Bm","A","matheus kauan"
"47","0"," matheus kauan a nossa praia  amar ",0,"D","A","matheus kauan"
"48","0"," matheus kauan a nossa praia  amar ",0,"A","A","matheus kauan"
"49","0"," matheus kauan a nossa praia  amar ",0,"E","A","matheus kauan"
"50","0"," matheus kauan a nossa praia  amar ",0,"A9","A","matheus kauan"
"51","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"52","0"," matheus kauan a nossa praia  amar ",0,"F#m","A","matheus kauan"
"53","0"," matheus kauan a nossa praia  amar ",0,"E","A","matheus kauan"
"54","0"," matheus kauan a nossa praia  amar ",0,"D9","A","matheus kauan"
"55","0"," matheus kauan a nossa praia  amar ",0,"E","A","matheus kauan"
"56","2016-02-26"," matheus kauan abajur ",56,"F","C","matheus kauan"
"57","2016-02-26"," matheus kauan abajur ",56,"C","C","matheus kauan"
"58","2016-02-26"," matheus kauan abajur ",56,"Am","C","matheus kauan"
"59","2016-02-26"," matheus kauan abajur ",56,"G","C","matheus kauan"
"60","2016-02-26"," matheus kauan abajur ",56,"F","C","matheus kauan"
"61","2016-02-26"," matheus kauan abajur ",56,"C","C","matheus kauan"
"62","2016-02-26"," matheus kauan abajur ",56,"Am","C","matheus kauan"
"63","2016-02-26"," matheus kauan abajur ",56,"G","C","matheus kauan"
"64","2016-02-26"," matheus kauan abajur ",56,"F","C","matheus kauan"
"65","2016-02-26"," matheus kauan abajur ",56,"C","C","matheus kauan"
"66","2016-02-26"," matheus kauan abajur ",56,"Am","C","matheus kauan"
"67","2016-02-26"," matheus kauan abajur ",56,"G","C","matheus kauan"
"68","2016-02-26"," matheus kauan abajur ",56,"F","C","matheus kauan"
"69","2016-02-26"," matheus kauan abajur ",56,"C","C","matheus kauan"
"70","2016-02-26"," matheus kauan abajur ",56,"Am","C","matheus kauan"
"71","2016-02-26"," matheus kauan abajur ",56,"G","C","matheus kauan"
"72","2016-02-26"," matheus kauan abajur ",56,"F","C","matheus kauan"
"73","2016-02-26"," matheus kauan abajur ",56,"C","C","matheus kauan"
"74","2016-02-26"," matheus kauan abajur ",56,"Am","C","matheus kauan"
"75","2016-02-26"," matheus kauan abajur ",56,"G","C","matheus kauan"
"76","2016-02-26"," matheus kauan abajur ",56,"F","C","matheus kauan"
"77","2016-02-26"," matheus kauan abajur ",56,"C","C","matheus kauan"
"78","2016-02-26"," matheus kauan abajur ",56,"F","C","matheus kauan"
"79","2016-02-26"," matheus kauan abajur ",56,"C","C","matheus kauan"
