"date","musica","popul","cifra","tom","autor"
"1","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"2","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"3","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"Em","G","thiago brava"
"4","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"C","G","thiago brava"
"5","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"6","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"7","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"Em","G","thiago brava"
"8","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"C","G","thiago brava"
"9","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"10","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"11","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"12","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"13","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"Em","G","thiago brava"
"14","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"C","G","thiago brava"
"15","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"16","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"17","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"18","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"19","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"Em","G","thiago brava"
"20","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"C","G","thiago brava"
"21","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"22","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"23","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"24","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"25","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"Em","G","thiago brava"
"26","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"C","G","thiago brava"
"27","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"D","G","thiago brava"
"28","2012-09-26"," thiago brava 360 o arrocha do poder ",37,"G","G","thiago brava"
"29","2017-03-08"," thiago brava apaixonar engorda ",46,"G","G","thiago brava"
"30","2017-03-08"," thiago brava apaixonar engorda ",46,"D","G","thiago brava"
"31","2017-03-08"," thiago brava apaixonar engorda ",46,"Em","G","thiago brava"
"32","2017-03-08"," thiago brava apaixonar engorda ",46,"C","G","thiago brava"
"33","2017-03-08"," thiago brava apaixonar engorda ",46,"D","G","thiago brava"
"34","2017-03-08"," thiago brava apaixonar engorda ",46,"G","G","thiago brava"
"35","2017-03-08"," thiago brava apaixonar engorda ",46,"D","G","thiago brava"
"36","2017-03-08"," thiago brava apaixonar engorda ",46,"Em","G","thiago brava"
"37","2017-03-08"," thiago brava apaixonar engorda ",46,"C","G","thiago brava"
"38","2017-03-08"," thiago brava apaixonar engorda ",46,"D","G","thiago brava"
"39","2017-03-08"," thiago brava apaixonar engorda ",46,"C","G","thiago brava"
"40","2017-03-08"," thiago brava apaixonar engorda ",46,"D","G","thiago brava"
"41","2017-03-08"," thiago brava apaixonar engorda ",46,"G","G","thiago brava"
"42","2017-03-08"," thiago brava apaixonar engorda ",46,"D","G","thiago brava"
"43","2017-03-08"," thiago brava apaixonar engorda ",46,"Em","G","thiago brava"
"44","2017-03-08"," thiago brava apaixonar engorda ",46,"C","G","thiago brava"
"45","2017-03-08"," thiago brava apaixonar engorda ",46,"G","G","thiago brava"
"46","2017-03-08"," thiago brava apaixonar engorda ",46,"D","G","thiago brava"
"47","2017-03-08"," thiago brava apaixonar engorda ",46,"Em","G","thiago brava"
"48","2017-03-08"," thiago brava apaixonar engorda ",46,"C","G","thiago brava"
"49","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"50","2013-11-18"," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"51","2013-11-18"," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"52","2013-11-18"," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"53","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"54","2013-11-18"," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"55","2013-11-18"," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"56","2013-11-18"," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"57","2013-11-18"," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"58","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"59","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"60","2013-11-18"," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"61","2013-11-18"," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"62","2013-11-18"," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"63","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"64","2013-11-18"," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"65","2013-11-18"," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"66","2013-11-18"," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"67","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"68","2013-11-18"," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"69","2013-11-18"," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"70","2013-11-18"," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"71","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"72","2013-11-18"," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"73","2013-11-18"," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"74","2013-11-18"," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"75","2013-11-18"," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"76","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"77","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"78","2013-11-18"," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"79","2013-11-18"," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"80","2013-11-18"," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"81","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"82","2013-11-18"," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"83","2013-11-18"," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"84","2013-11-18"," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"85","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"86","2013-11-18"," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"87","2013-11-18"," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"88","2013-11-18"," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"89","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"90","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"91","2013-11-18"," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"92","2013-11-18"," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"93","2013-11-18"," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"94","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"95","2013-11-18"," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"96","2013-11-18"," thiago brava arrocha da paixao ",34,"F#m","A","thiago brava"
"97","2013-11-18"," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"98","2013-11-18"," thiago brava arrocha da paixao ",34,"E","A","thiago brava"
"99","2013-11-18"," thiago brava arrocha da paixao ",34,"D","A","thiago brava"
"100","2013-11-18"," thiago brava arrocha da paixao ",34,"A","A","thiago brava"
"101","2012-09-26"," thiago brava arrocha do poder ",37,"G","G","thiago brava"
"102","2012-09-26"," thiago brava arrocha do poder ",37,"D","G","thiago brava"
"103","2012-09-26"," thiago brava arrocha do poder ",37,"Em","G","thiago brava"
"104","2012-09-26"," thiago brava arrocha do poder ",37,"C","G","thiago brava"
"105","2012-09-26"," thiago brava arrocha do poder ",37,"D","G","thiago brava"
"106","2012-09-26"," thiago brava arrocha do poder ",37,"G","G","thiago brava"
"107","2012-09-26"," thiago brava arrocha do poder ",37,"G","G","thiago brava"
"108","2012-09-26"," thiago brava arrocha do poder ",37,"D","G","thiago brava"
"109","2012-09-26"," thiago brava arrocha do poder ",37,"Em","G","thiago brava"
"110","2012-09-26"," thiago brava arrocha do poder ",37,"C","G","thiago brava"
"111","2012-09-26"," thiago brava arrocha do poder ",37,"D","G","thiago brava"
"112","2012-09-26"," thiago brava arrocha do poder ",37,"G","G","thiago brava"
"113","2012-09-26"," thiago brava arrocha do poder ",37,"G","G","thiago brava"
"114","2012-09-26"," thiago brava arrocha do poder ",37,"D","G","thiago brava"
"115","2012-09-26"," thiago brava arrocha do poder ",37,"Em","G","thiago brava"
"116","2012-09-26"," thiago brava arrocha do poder ",37,"C","G","thiago brava"
"117","2012-09-26"," thiago brava arrocha do poder ",37,"D","G","thiago brava"
"118","2012-09-26"," thiago brava arrocha do poder ",37,"G","G","thiago brava"
"119","2012-09-26"," thiago brava arrocha do poder ",37,"G","G","thiago brava"
"120","2012-09-26"," thiago brava arrocha do poder ",37,"D","G","thiago brava"
"121","2012-09-26"," thiago brava arrocha do poder ",37,"Em","G","thiago brava"
"122","2012-09-26"," thiago brava arrocha do poder ",37,"C","G","thiago brava"
"123","2012-09-26"," thiago brava arrocha do poder ",37,"D","G","thiago brava"
"124","2012-09-26"," thiago brava arrocha do poder ",37,"G","G","thiago brava"
"125","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"A","A","thiago brava"
"126","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"E","A","thiago brava"
"127","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"D","A","thiago brava"
"128","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"E","A","thiago brava"
"129","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"D","A","thiago brava"
"130","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"E","A","thiago brava"
"131","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"A","A","thiago brava"
"132","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"A","A","thiago brava"
"133","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"E","A","thiago brava"
"134","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"D","A","thiago brava"
"135","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"Dm","A","thiago brava"
"136","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"A","A","thiago brava"
"137","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"E","A","thiago brava"
"138","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"D","A","thiago brava"
"139","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"E","A","thiago brava"
"140","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"D","A","thiago brava"
"141","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"E","A","thiago brava"
"142","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"A","A","thiago brava"
"143","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"E","A","thiago brava"
"144","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"A","A","thiago brava"
"145","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"E","A","thiago brava"
"146","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"F#m","A","thiago brava"
"147","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"D","A","thiago brava"
"148","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"A","A","thiago brava"
"149","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"E","A","thiago brava"
"150","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"F#m","A","thiago brava"
"151","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"D","A","thiago brava"
"152","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"A","A","thiago brava"
"153","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"E","A","thiago brava"
"154","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"F#m","A","thiago brava"
"155","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"D","A","thiago brava"
"156","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"E","A","thiago brava"
"157","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"A","A","thiago brava"
"158","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"E","A","thiago brava"
"159","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"F#m","A","thiago brava"
"160","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"D","A","thiago brava"
"161","0"," thiago brava cada um com seus problemas part lucas lucco ",0,"E","A","thiago brava"
"162","2017-03-08"," thiago brava cama de casal ",39,"Em","G","thiago brava"
"163","2017-03-08"," thiago brava cama de casal ",39,"D","G","thiago brava"
"164","2017-03-08"," thiago brava cama de casal ",39,"Am","G","thiago brava"
"165","2017-03-08"," thiago brava cama de casal ",39,"C","G","thiago brava"
"166","2017-03-08"," thiago brava cama de casal ",39,"Em","G","thiago brava"
"167","2017-03-08"," thiago brava cama de casal ",39,"D","G","thiago brava"
"168","2017-03-08"," thiago brava cama de casal ",39,"Am","G","thiago brava"
"169","2017-03-08"," thiago brava cama de casal ",39,"C","G","thiago brava"
"170","2013-11-18"," thiago brava coracao carreira solo ",15,"G","G","thiago brava"
"171","2013-11-18"," thiago brava coracao carreira solo ",15,"D","G","thiago brava"
"172","2013-11-18"," thiago brava coracao carreira solo ",15,"C","G","thiago brava"
"173","2013-11-18"," thiago brava coracao carreira solo ",15,"G","G","thiago brava"
"174","2013-11-18"," thiago brava coracao carreira solo ",15,"D","G","thiago brava"
"175","2013-11-18"," thiago brava coracao carreira solo ",15,"C","G","thiago brava"
"176","2013-11-18"," thiago brava coracao carreira solo ",15,"G","G","thiago brava"
"177","2013-11-18"," thiago brava coracao carreira solo ",15,"D","G","thiago brava"
"178","2013-11-18"," thiago brava coracao carreira solo ",15,"G","G","thiago brava"
"179","2013-11-18"," thiago brava coracao carreira solo ",15,"D","G","thiago brava"
