"date","musica","popul","cifra","tom","autor"
"1","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"2","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"3","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"4","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"5","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"6","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"7","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"8","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"9","2017-09-01"," trio parada dura a estatua ",25,"D","A","trio parada dura"
"10","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"11","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"12","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"13","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"14","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"15","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"16","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"17","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"18","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"19","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"20","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"21","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"22","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"23","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"24","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"25","2017-09-01"," trio parada dura a estatua ",25,"D","A","trio parada dura"
"26","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"27","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"28","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"29","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"30","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"31","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"32","2017-09-01"," trio parada dura a estatua ",25,"D","A","trio parada dura"
"33","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"34","2017-09-01"," trio parada dura a estatua ",25,"E7","A","trio parada dura"
"35","2017-09-01"," trio parada dura a estatua ",25,"A","A","trio parada dura"
"36","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"37","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"38","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"39","0"," trio parada dura a hora certa nao importa ",0,"Bb7","B","trio parada dura"
"40","0"," trio parada dura a hora certa nao importa ",0,"E","B","trio parada dura"
"41","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"42","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"43","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"44","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"45","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"46","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"47","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"48","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"49","0"," trio parada dura a hora certa nao importa ",0,"E","B","trio parada dura"
"50","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"51","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"52","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"53","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"54","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"55","0"," trio parada dura a hora certa nao importa ",0,"Bb7","B","trio parada dura"
"56","0"," trio parada dura a hora certa nao importa ",0,"E","B","trio parada dura"
"57","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"58","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"59","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"60","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"61","0"," trio parada dura a hora certa nao importa ",0,"E","B","trio parada dura"
"62","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"63","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"64","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"65","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"66","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"67","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"68","0"," trio parada dura a hora certa nao importa ",0,"Bb7","B","trio parada dura"
"69","0"," trio parada dura a hora certa nao importa ",0,"E","B","trio parada dura"
"70","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"71","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"72","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"73","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"74","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"75","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"76","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"77","0"," trio parada dura a hora certa nao importa ",0,"Bb7","B","trio parada dura"
"78","0"," trio parada dura a hora certa nao importa ",0,"E","B","trio parada dura"
"79","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"80","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"81","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"82","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"83","0"," trio parada dura a hora certa nao importa ",0,"E","B","trio parada dura"
"84","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"85","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"86","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"87","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"88","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"89","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"90","0"," trio parada dura a hora certa nao importa ",0,"F#","B","trio parada dura"
"91","0"," trio parada dura a hora certa nao importa ",0,"Bb","B","trio parada dura"
"92","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"93","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"94","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"95","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"96","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"97","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"98","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"99","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"100","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"101","1999"," trio parada dura a nossa casa ",3,"D","A","trio parada dura"
"102","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"103","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"104","1999"," trio parada dura a nossa casa ",3,"D","A","trio parada dura"
"105","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"106","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"107","1999"," trio parada dura a nossa casa ",3,"D","A","trio parada dura"
"108","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"109","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"110","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"111","1999"," trio parada dura a nossa casa ",3,"D","A","trio parada dura"
"112","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"113","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"114","1999"," trio parada dura a nossa casa ",3,"D","A","trio parada dura"
"115","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"116","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"117","1999"," trio parada dura a nossa casa ",3,"B7","A","trio parada dura"
"118","1999"," trio parada dura a nossa casa ",3,"E","A","trio parada dura"
"119","1999"," trio parada dura a nossa casa ",3,"B7","A","trio parada dura"
"120","1999"," trio parada dura a nossa casa ",3,"E","A","trio parada dura"
"121","1999"," trio parada dura a nossa casa ",3,"D","A","trio parada dura"
"122","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"123","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"124","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"125","1999"," trio parada dura a nossa casa ",3,"B7","A","trio parada dura"
"126","1999"," trio parada dura a nossa casa ",3,"E","A","trio parada dura"
"127","1999"," trio parada dura a nossa casa ",3,"B7","A","trio parada dura"
"128","1999"," trio parada dura a nossa casa ",3,"E","A","trio parada dura"
"129","1999"," trio parada dura a nossa casa ",3,"D","A","trio parada dura"
"130","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"131","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"132","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"133","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"134","1999"," trio parada dura a nossa casa ",3,"D","A","trio parada dura"
"135","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"136","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"137","1999"," trio parada dura a nossa casa ",3,"D","A","trio parada dura"
"138","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"139","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"140","1999"," trio parada dura a nossa casa ",3,"D","A","trio parada dura"
"141","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"142","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"143","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"144","1999"," trio parada dura a nossa casa ",3,"D","A","trio parada dura"
"145","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"146","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"147","1999"," trio parada dura a nossa casa ",3,"D","A","trio parada dura"
"148","1999"," trio parada dura a nossa casa ",3,"E7","A","trio parada dura"
"149","1999"," trio parada dura a nossa casa ",3,"A","A","trio parada dura"
"150","1999"," trio parada dura a vaquinha ",8,"C","C","trio parada dura"
"151","1999"," trio parada dura a vaquinha ",8,"G7","C","trio parada dura"
"152","1999"," trio parada dura a vaquinha ",8,"F","C","trio parada dura"
"153","1999"," trio parada dura a vaquinha ",8,"C","C","trio parada dura"
"154","1999"," trio parada dura a vaquinha ",8,"G7","C","trio parada dura"
"155","1999"," trio parada dura a vaquinha ",8,"F","C","trio parada dura"
"156","1999"," trio parada dura a vaquinha ",8,"C","C","trio parada dura"
"157","1999"," trio parada dura a vaquinha ",8,"G7","C","trio parada dura"
"158","1999"," trio parada dura a vaquinha ",8,"F","C","trio parada dura"
