"date","musica","popul","cifra","tom","autor"
"1","2003-05-09"," arlindo cruz a festa da massa ",24,"E","A","arlindo cruz"
"2","2003-05-09"," arlindo cruz a festa da massa ",24,"B7","A","arlindo cruz"
"3","2003-05-09"," arlindo cruz a festa da massa ",24,"E","A","arlindo cruz"
"4","2003-05-09"," arlindo cruz a festa da massa ",24,"G#7","A","arlindo cruz"
"5","2003-05-09"," arlindo cruz a festa da massa ",24,"C#m","A","arlindo cruz"
"6","2003-05-09"," arlindo cruz a festa da massa ",24,"Bm","A","arlindo cruz"
"7","2003-05-09"," arlindo cruz a festa da massa ",24,"E7","A","arlindo cruz"
"8","2003-05-09"," arlindo cruz a festa da massa ",24,"A","A","arlindo cruz"
"9","2003-05-09"," arlindo cruz a festa da massa ",24,"G#7","A","arlindo cruz"
"10","2003-05-09"," arlindo cruz a festa da massa ",24,"C#m","A","arlindo cruz"
"11","2003-05-09"," arlindo cruz a festa da massa ",24,"F#7","A","arlindo cruz"
"12","2003-05-09"," arlindo cruz a festa da massa ",24,"F#m7","A","arlindo cruz"
"13","2003-05-09"," arlindo cruz a festa da massa ",24,"B7","A","arlindo cruz"
"14","2003-05-09"," arlindo cruz a festa da massa ",24,"E","A","arlindo cruz"
"15","2003-05-09"," arlindo cruz a festa da massa ",24,"G#7","A","arlindo cruz"
"16","2003-05-09"," arlindo cruz a festa da massa ",24,"C#m","A","arlindo cruz"
"17","2003-05-09"," arlindo cruz a festa da massa ",24,"Bm","A","arlindo cruz"
"18","2003-05-09"," arlindo cruz a festa da massa ",24,"E7","A","arlindo cruz"
"19","2003-05-09"," arlindo cruz a festa da massa ",24,"A","A","arlindo cruz"
"20","2003-05-09"," arlindo cruz a festa da massa ",24,"F#7","A","arlindo cruz"
"21","2003-05-09"," arlindo cruz a festa da massa ",24,"E","A","arlindo cruz"
"22","2003-05-09"," arlindo cruz a festa da massa ",24,"C#7","A","arlindo cruz"
"23","2003-05-09"," arlindo cruz a festa da massa ",24,"F#7","A","arlindo cruz"
"24","2003-05-09"," arlindo cruz a festa da massa ",24,"B7","A","arlindo cruz"
"25","2003-05-09"," arlindo cruz a festa da massa ",24,"E","A","arlindo cruz"
"26","2003-05-09"," arlindo cruz a festa da massa ",24,"G#7","A","arlindo cruz"
"27","2003-05-09"," arlindo cruz a festa da massa ",24,"C#m","A","arlindo cruz"
"28","2003-05-09"," arlindo cruz a festa da massa ",24,"Bm","A","arlindo cruz"
"29","2003-05-09"," arlindo cruz a festa da massa ",24,"E7","A","arlindo cruz"
"30","2003-05-09"," arlindo cruz a festa da massa ",24,"A","A","arlindo cruz"
"31","2003-05-09"," arlindo cruz a festa da massa ",24,"F#7","A","arlindo cruz"
"32","2003-05-09"," arlindo cruz a festa da massa ",24,"E","A","arlindo cruz"
"33","2003-05-09"," arlindo cruz a festa da massa ",24,"C#7","A","arlindo cruz"
"34","2003-05-09"," arlindo cruz a festa da massa ",24,"F#7","A","arlindo cruz"
"35","2003-05-09"," arlindo cruz a festa da massa ",24,"B7","A","arlindo cruz"
"36","0"," arlindo cruz a minha vida hoje virou verso ",0,"C7","G","arlindo cruz"
"37","0"," arlindo cruz a minha vida hoje virou verso ",0,"F6","G","arlindo cruz"
"38","0"," arlindo cruz a minha vida hoje virou verso ",0,"F#º","G","arlindo cruz"
"39","0"," arlindo cruz a minha vida hoje virou verso ",0,"G7","G","arlindo cruz"
"40","0"," arlindo cruz a minha vida hoje virou verso ",0,"Gm7","G","arlindo cruz"
"41","0"," arlindo cruz a minha vida hoje virou verso ",0,"C7(b9)","G","arlindo cruz"
"42","0"," arlindo cruz a minha vida hoje virou verso ",0,"Am7","G","arlindo cruz"
"43","0"," arlindo cruz a minha vida hoje virou verso ",0,"D7(9)","G","arlindo cruz"
"44","0"," arlindo cruz a minha vida hoje virou verso ",0,"Gm7","G","arlindo cruz"
"45","0"," arlindo cruz a minha vida hoje virou verso ",0,"C4/7(9)","G","arlindo cruz"
"46","0"," arlindo cruz a minha vida hoje virou verso ",0,"C7(b9)","G","arlindo cruz"
"47","0"," arlindo cruz a minha vida hoje virou verso ",0,"F7M","G","arlindo cruz"
"48","0"," arlindo cruz a minha vida hoje virou verso ",0,"C7","G","arlindo cruz"
"49","0"," arlindo cruz a minha vida hoje virou verso ",0,"F6","G","arlindo cruz"
"50","0"," arlindo cruz a minha vida hoje virou verso ",0,"F#º","G","arlindo cruz"
"51","0"," arlindo cruz a minha vida hoje virou verso ",0,"G7","G","arlindo cruz"
"52","0"," arlindo cruz a minha vida hoje virou verso ",0,"Gm7","G","arlindo cruz"
"53","0"," arlindo cruz a minha vida hoje virou verso ",0,"C7(b9)","G","arlindo cruz"
"54","0"," arlindo cruz a minha vida hoje virou verso ",0,"Am7","G","arlindo cruz"
"55","0"," arlindo cruz a minha vida hoje virou verso ",0,"D7(9)","G","arlindo cruz"
"56","0"," arlindo cruz a minha vida hoje virou verso ",0,"Gm7","G","arlindo cruz"
"57","0"," arlindo cruz a minha vida hoje virou verso ",0,"C4/7(9)","G","arlindo cruz"
"58","0"," arlindo cruz a minha vida hoje virou verso ",0,"C7(b9)","G","arlindo cruz"
"59","0"," arlindo cruz a minha vida hoje virou verso ",0,"F7M","G","arlindo cruz"
"60","0"," arlindo cruz a minha vida hoje virou verso ",0,"C7","G","arlindo cruz"
"61","0"," arlindo cruz a minha vida hoje virou verso ",0,"F6","G","arlindo cruz"
"62","0"," arlindo cruz a minha vida hoje virou verso ",0,"G7","G","arlindo cruz"
"63","0"," arlindo cruz a minha vida hoje virou verso ",0,"Gm7","G","arlindo cruz"
"64","0"," arlindo cruz a minha vida hoje virou verso ",0,"C7(9)","G","arlindo cruz"
"65","0"," arlindo cruz a minha vida hoje virou verso ",0,"F7M","G","arlindo cruz"
"66","1998-01-01"," arlindo cruz agua benta ",14,"D7","C","arlindo cruz"
"67","1998-01-01"," arlindo cruz agua benta ",14,"Gm6","C","arlindo cruz"
"68","1998-01-01"," arlindo cruz agua benta ",14,"C7/5+","C","arlindo cruz"
"69","1998-01-01"," arlindo cruz agua benta ",14,"F7+","C","arlindo cruz"
"70","1998-01-01"," arlindo cruz agua benta ",14,"D7","C","arlindo cruz"
"71","1998-01-01"," arlindo cruz agua benta ",14,"Gm6","C","arlindo cruz"
"72","1998-01-01"," arlindo cruz agua benta ",14,"C7/5+","C","arlindo cruz"
"73","1998-01-01"," arlindo cruz agua benta ",14,"F7+","C","arlindo cruz"
"74","1998-01-01"," arlindo cruz agua benta ",14,"D7","C","arlindo cruz"
"75","1998-01-01"," arlindo cruz agua benta ",14,"Gm6","C","arlindo cruz"
"76","1998-01-01"," arlindo cruz agua benta ",14,"C7/5+","C","arlindo cruz"
"77","1998-01-01"," arlindo cruz agua benta ",14,"F7+","C","arlindo cruz"
"78","1998-01-01"," arlindo cruz agua benta ",14,"D7","C","arlindo cruz"
"79","1998-01-01"," arlindo cruz agua benta ",14,"Gm6","C","arlindo cruz"
"80","1998-01-01"," arlindo cruz agua benta ",14,"C7/5+","C","arlindo cruz"
"81","1998-01-01"," arlindo cruz agua benta ",14,"F7+","C","arlindo cruz"
"82","1998-01-01"," arlindo cruz agua benta ",14,"F7","C","arlindo cruz"
"83","1998-01-01"," arlindo cruz agua benta ",14,"Cm7","C","arlindo cruz"
"84","1998-01-01"," arlindo cruz agua benta ",14,"D7","C","arlindo cruz"
"85","1998-01-01"," arlindo cruz agua benta ",14,"Gm6","C","arlindo cruz"
"86","1998-01-01"," arlindo cruz agua benta ",14,"C7/5+","C","arlindo cruz"
"87","1998-01-01"," arlindo cruz agua benta ",14,"F7+","C","arlindo cruz"
"88","1998-01-01"," arlindo cruz agua benta ",14,"D7+","C","arlindo cruz"
"89","1998-01-01"," arlindo cruz agua benta ",14,"Gm6","C","arlindo cruz"
"90","1998-01-01"," arlindo cruz agua benta ",14,"C7/5+","C","arlindo cruz"
"91","1998-01-01"," arlindo cruz agua benta ",14,"F7+","C","arlindo cruz"
"92","1998-01-01"," arlindo cruz agua benta ",14,"D7","C","arlindo cruz"
"93","1998-01-01"," arlindo cruz agua benta ",14,"Gm6","C","arlindo cruz"
"94","1998-01-01"," arlindo cruz agua benta ",14,"C7/5+","C","arlindo cruz"
"95","1998-01-01"," arlindo cruz agua benta ",14,"F7+","C","arlindo cruz"
"96","1998-01-01"," arlindo cruz agua benta ",14,"F7","C","arlindo cruz"
