"date","musica","popul","cifra","tom","autor"
"1","1999"," benito di paula a vida dura ",10,"C","C","benito di paula"
"2","1999"," benito di paula a vida dura ",10,"F","C","benito di paula"
"3","1999"," benito di paula a vida dura ",10,"Fm","C","benito di paula"
"4","1999"," benito di paula a vida dura ",10,"Em","C","benito di paula"
"5","1999"," benito di paula a vida dura ",10,"Am","C","benito di paula"
"6","1999"," benito di paula a vida dura ",10,"Dm","C","benito di paula"
"7","1999"," benito di paula a vida dura ",10,"G7","C","benito di paula"
"8","1999"," benito di paula a vida dura ",10,"C","C","benito di paula"
"9","1999"," benito di paula a vida dura ",10,"C7","C","benito di paula"
"10","1999"," benito di paula a vida dura ",10,"F","C","benito di paula"
"11","1999"," benito di paula a vida dura ",10,"Fm","C","benito di paula"
"12","1999"," benito di paula a vida dura ",10,"Em","C","benito di paula"
"13","1999"," benito di paula a vida dura ",10,"Am","C","benito di paula"
"14","1999"," benito di paula a vida dura ",10,"Dm","C","benito di paula"
"15","1999"," benito di paula a vida dura ",10,"G7","C","benito di paula"
"16","1999"," benito di paula a vida dura ",10,"C","C","benito di paula"
"17","1999"," benito di paula a vida dura ",10,"G7","C","benito di paula"
"18","1999"," benito di paula a vida dura ",10,"C","C","benito di paula"
"19","1999"," benito di paula a vida dura ",10,"A7","C","benito di paula"
"20","1999"," benito di paula a vida dura ",10,"Dm","C","benito di paula"
"21","1999"," benito di paula a vida dura ",10,"G","C","benito di paula"
"22","1999"," benito di paula a vida dura ",10,"F","C","benito di paula"
"23","1999"," benito di paula a vida dura ",10,"G7","C","benito di paula"
"24","1999"," benito di paula a vida dura ",10,"C","C","benito di paula"
"25","1999"," benito di paula a vida dura ",10,"C7","C","benito di paula"
"26","1999"," benito di paula a vida dura ",10,"F","C","benito di paula"
"27","1999"," benito di paula a vida dura ",10,"Fm","C","benito di paula"
"28","1999"," benito di paula a vida dura ",10,"Em","C","benito di paula"
"29","1999"," benito di paula a vida dura ",10,"Am","C","benito di paula"
"30","1999"," benito di paula a vida dura ",10,"Dm","C","benito di paula"
"31","1999"," benito di paula a vida dura ",10,"G7","C","benito di paula"
"32","1999"," benito di paula a vida dura ",10,"C","C","benito di paula"
"33","1999"," benito di paula a vida dura ",10,"Bm7/5-","C","benito di paula"
"34","1999"," benito di paula a vida dura ",10,"E7","C","benito di paula"
"35","1999"," benito di paula a vida dura ",10,"Am","C","benito di paula"
"36","1999"," benito di paula a vida dura ",10,"A7","C","benito di paula"
"37","1999"," benito di paula a vida dura ",10,"Dm","C","benito di paula"
"38","1999"," benito di paula a vida dura ",10,"G7","C","benito di paula"
"39","1999"," benito di paula a vida dura ",10,"C","C","benito di paula"
"40","1999"," benito di paula a vida dura ",10,"Bm7/5-","C","benito di paula"
"41","1999"," benito di paula a vida dura ",10,"E7","C","benito di paula"
"42","1999"," benito di paula a vida dura ",10,"Am","C","benito di paula"
"43","1999"," benito di paula a vida dura ",10,"A7","C","benito di paula"
"44","1999"," benito di paula a vida dura ",10,"Dm","C","benito di paula"
"45","1999"," benito di paula a vida dura ",10,"G7","C","benito di paula"
"46","1999"," benito di paula a vida dura ",10,"C","C","benito di paula"
"47","1999"," benito di paula a vida dura ",10,"C7","C","benito di paula"
"48","2009-09-18"," benito di paula ah como eu amei ",45,"Bb","A#","benito di paula"
"49","2009-09-18"," benito di paula ah como eu amei ",45,"Bb5+","A#","benito di paula"
"50","2009-09-18"," benito di paula ah como eu amei ",45,"Bb6","A#","benito di paula"
"51","2009-09-18"," benito di paula ah como eu amei ",45,"Bb7/4","A#","benito di paula"
"52","2009-09-18"," benito di paula ah como eu amei ",45,"Bb7","A#","benito di paula"
"53","2009-09-18"," benito di paula ah como eu amei ",45,"Eb7+","A#","benito di paula"
"54","2009-09-18"," benito di paula ah como eu amei ",45,"Bb/Eb","A#","benito di paula"
"55","2009-09-18"," benito di paula ah como eu amei ",45,"Cm","A#","benito di paula"
"56","2009-09-18"," benito di paula ah como eu amei ",45,"Fsus","A#","benito di paula"
"57","2009-09-18"," benito di paula ah como eu amei ",45,"F","A#","benito di paula"
"58","2009-09-18"," benito di paula ah como eu amei ",45,"Bb","A#","benito di paula"
"59","2009-09-18"," benito di paula ah como eu amei ",45,"Bb5+","A#","benito di paula"
"60","2009-09-18"," benito di paula ah como eu amei ",45,"Bb6","A#","benito di paula"
"61","2009-09-18"," benito di paula ah como eu amei ",45,"Bb7","A#","benito di paula"
"62","2009-09-18"," benito di paula ah como eu amei ",45,"Eb7+","A#","benito di paula"
"63","2009-09-18"," benito di paula ah como eu amei ",45,"Bb/Eb","A#","benito di paula"
"64","2009-09-18"," benito di paula ah como eu amei ",45,"Cm","A#","benito di paula"
"65","2009-09-18"," benito di paula ah como eu amei ",45,"Fsus","A#","benito di paula"
