"date","musica","popul","cifra","tom","autor"
"1","1987"," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"2","1987"," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"3","1987"," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"4","1987"," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"5","1987"," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"6","1987"," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"7","1987"," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"8","1987"," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"9","1987"," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"10","1987"," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"11","1987"," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"12","1987"," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"13","1987"," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"14","1987"," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"15","1987"," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"16","1987"," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"17","1987"," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"18","1987"," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"19","1987"," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"20","1987"," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"21","1987"," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"22","1987"," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"23","1987"," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"24","1987"," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"25","1987"," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"26","1987"," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"27","1987"," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"28","1987"," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"29","1987"," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"30","1987"," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"31","1987"," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"32","1987"," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"33","1987"," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"34","1987"," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"35","1987"," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"36","1987"," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"37","1987"," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"38","1987"," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"39","1987"," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"40","1987"," bezerra da silva a semente ",47,"Gm","F","bezerra da silva"
"41","1987"," bezerra da silva a semente ",47,"A","F","bezerra da silva"
"42","1987"," bezerra da silva a semente ",47,"Dm","F","bezerra da silva"
"43","1998-01-01"," bezerra da silva a fumaca ja subiu pra cuca ",35,"Dm","F","bezerra da silva"
"44","1998-01-01"," bezerra da silva a fumaca ja subiu pra cuca ",35,"Gm","F","bezerra da silva"
"45","1998-01-01"," bezerra da silva a fumaca ja subiu pra cuca ",35,"A","F","bezerra da silva"
"46","1998-01-01"," bezerra da silva a fumaca ja subiu pra cuca ",35,"Gm","F","bezerra da silva"
"47","1998-01-01"," bezerra da silva a fumaca ja subiu pra cuca ",35,"A7","F","bezerra da silva"
"48","1998-01-01"," bezerra da silva a fumaca ja subiu pra cuca ",35,"Dm","F","bezerra da silva"
"49","0"," bezerra da silva acordo de malandro ",0,"D7","G","bezerra da silva"
"50","0"," bezerra da silva acordo de malandro ",0,"G","G","bezerra da silva"
"51","0"," bezerra da silva acordo de malandro ",0,"E7","G","bezerra da silva"
"52","0"," bezerra da silva acordo de malandro ",0,"Am","G","bezerra da silva"
"53","0"," bezerra da silva acordo de malandro ",0,"D7","G","bezerra da silva"
"54","0"," bezerra da silva acordo de malandro ",0,"G","G","bezerra da silva"
"55","0"," bezerra da silva acordo de malandro ",0,"Am","G","bezerra da silva"
"56","0"," bezerra da silva acordo de malandro ",0,"D7","G","bezerra da silva"
"57","0"," bezerra da silva acordo de malandro ",0,"G","G","bezerra da silva"
"58","0"," bezerra da silva acordo de malandro ",0,"Am","G","bezerra da silva"
"59","0"," bezerra da silva acordo de malandro ",0,"D7","G","bezerra da silva"
"60","0"," bezerra da silva acordo de malandro ",0,"G","G","bezerra da silva"
"61","0"," bezerra da silva acordo de malandro ",0,"Am","G","bezerra da silva"
"62","0"," bezerra da silva acordo de malandro ",0,"D7","G","bezerra da silva"
"63","0"," bezerra da silva acordo de malandro ",0,"G","G","bezerra da silva"
"64","0"," bezerra da silva acordo de malandro ",0,"E7","G","bezerra da silva"
"65","0"," bezerra da silva acordo de malandro ",0,"Am","G","bezerra da silva"
"66","0"," bezerra da silva acordo de malandro ",0,"D7","G","bezerra da silva"
"67","0"," bezerra da silva acordo de malandro ",0,"G","G","bezerra da silva"
"68","0"," bezerra da silva acordo de malandro ",0,"D7","G","bezerra da silva"
"69","0"," bezerra da silva acordo de malandro ",0,"G","G","bezerra da silva"
"70","0"," bezerra da silva acordo de malandro ",0,"E7","G","bezerra da silva"
"71","0"," bezerra da silva acordo de malandro ",0,"Am","G","bezerra da silva"
"72","0"," bezerra da silva acordo de malandro ",0,"D7","G","bezerra da silva"
"73","0"," bezerra da silva acordo de malandro ",0,"G","G","bezerra da silva"
"74","0"," bezerra da silva acordo de malandro ",0,"Am","G","bezerra da silva"
"75","0"," bezerra da silva acordo de malandro ",0,"D7","G","bezerra da silva"
"76","0"," bezerra da silva acordo de malandro ",0,"G","G","bezerra da silva"
