"date","musica","popul","cifra","tom","autor"
"1","1979"," cartola a cor da esperanca ",10,"Fm7","C","cartola"
"2","1979"," cartola a cor da esperanca ",10,"Bm5-/7","C","cartola"
"3","1979"," cartola a cor da esperanca ",10,"Eb7M","C","cartola"
"4","1979"," cartola a cor da esperanca ",10,"G7","C","cartola"
"5","1979"," cartola a cor da esperanca ",10,"Cm7","C","cartola"
"6","1979"," cartola a cor da esperanca ",10,"Bbm7","C","cartola"
"7","1979"," cartola a cor da esperanca ",10,"Eb7/9","C","cartola"
"8","1979"," cartola a cor da esperanca ",10,"Ab7M","C","cartola"
"9","1979"," cartola a cor da esperanca ",10,"Ab6","C","cartola"
"10","1979"," cartola a cor da esperanca ",10,"Am5-/7","C","cartola"
"11","1979"," cartola a cor da esperanca ",10,"D7/9-","C","cartola"
"12","1979"," cartola a cor da esperanca ",10,"G7/13-","C","cartola"
"13","1979"," cartola a cor da esperanca ",10,"C6","C","cartola"
"14","1979"," cartola a cor da esperanca ",10,"C7","C","cartola"
"15","1979"," cartola a cor da esperanca ",10,"Fm7","C","cartola"
"16","1979"," cartola a cor da esperanca ",10,"Ab7","C","cartola"
"17","1979"," cartola a cor da esperanca ",10,"Ebm7/9","C","cartola"
"18","1979"," cartola a cor da esperanca ",10,"D7/9+","C","cartola"
"19","1979"," cartola a cor da esperanca ",10,"Gm7","C","cartola"
"20","1979"," cartola a cor da esperanca ",10,"C7/9","C","cartola"
"21","1979"," cartola a cor da esperanca ",10,"F7M","C","cartola"
"22","1979"," cartola a cor da esperanca ",10,"F6","C","cartola"
"23","1979"," cartola a cor da esperanca ",10,"Fm7","C","cartola"
"24","1979"," cartola a cor da esperanca ",10,"Bb7/9","C","cartola"
"25","1979"," cartola a cor da esperanca ",10,"Eb7M","C","cartola"
"26","1979"," cartola a cor da esperanca ",10,"G7","C","cartola"
"27","1979"," cartola a cor da esperanca ",10,"Cm7","C","cartola"
"28","1979"," cartola a cor da esperanca ",10,"G7/D","C","cartola"
"29","1979"," cartola a cor da esperanca ",10,"G7/9-","C","cartola"
"30","1979"," cartola a cor da esperanca ",10,"C7","C","cartola"
"31","1979"," cartola a cor da esperanca ",10,"Fm7","C","cartola"
"32","1979"," cartola a cor da esperanca ",10,"Fm7","C","cartola"
"33","1979"," cartola a cor da esperanca ",10,"Bb7/13-","C","cartola"
"34","1979"," cartola a cor da esperanca ",10,"Em7M","C","cartola"
"35","1979"," cartola a cor da esperanca ",10,"G7","C","cartola"
"36","1979"," cartola a cor da esperanca ",10,"Cm7","C","cartola"
"37","1979"," cartola a cor da esperanca ",10,"Bbm7","C","cartola"
"38","1979"," cartola a cor da esperanca ",10,"Eb7","C","cartola"
"39","1979"," cartola a cor da esperanca ",10,"Ab7M","C","cartola"
"40","1979"," cartola a cor da esperanca ",10,"Ab6","C","cartola"
"41","1979"," cartola a cor da esperanca ",10,"Am5-/7","C","cartola"
"42","1979"," cartola a cor da esperanca ",10,"D7/9-","C","cartola"
"43","1979"," cartola a cor da esperanca ",10,"G7/13-","C","cartola"
"44","1979"," cartola a cor da esperanca ",10,"G7/13","C","cartola"
"45","1979"," cartola a cor da esperanca ",10,"C6/9","C","cartola"
"46","0"," cartola a voz do morro ",0,"C6/9","G","cartola"
"47","0"," cartola a voz do morro ",0,"G7","G","cartola"
"48","0"," cartola a voz do morro ",0,"C7/6","G","cartola"
"49","0"," cartola a voz do morro ",0,"D79","G","cartola"
