"date","musica","popul","cifra","tom","autor"
"1","2002"," demonios da garoa a lei do inquilinato ",1,"Dm7","C","demonios da garoa"
"2","2002"," demonios da garoa a lei do inquilinato ",1,"Am7","C","demonios da garoa"
"3","2002"," demonios da garoa a lei do inquilinato ",1,"E7","C","demonios da garoa"
"4","2002"," demonios da garoa a lei do inquilinato ",1,"Am","C","demonios da garoa"
"5","2002"," demonios da garoa a lei do inquilinato ",1,"Dm","C","demonios da garoa"
"6","2002"," demonios da garoa a lei do inquilinato ",1,"Dm6","C","demonios da garoa"
"7","2002"," demonios da garoa a lei do inquilinato ",1,"Bm7(b5)","C","demonios da garoa"
"8","2002"," demonios da garoa a lei do inquilinato ",1,"Am6","C","demonios da garoa"
"9","2002"," demonios da garoa a lei do inquilinato ",1,"Am","C","demonios da garoa"
"10","2002"," demonios da garoa a lei do inquilinato ",1,"E7","C","demonios da garoa"
"11","2002"," demonios da garoa a lei do inquilinato ",1,"Bm7(b5)","C","demonios da garoa"
"12","2002"," demonios da garoa a lei do inquilinato ",1,"E7","C","demonios da garoa"
"13","2002"," demonios da garoa a lei do inquilinato ",1,"Bm7(b5)","C","demonios da garoa"
"14","2002"," demonios da garoa a lei do inquilinato ",1,"E7","C","demonios da garoa"
"15","2002"," demonios da garoa a lei do inquilinato ",1,"E7","C","demonios da garoa"
"16","2002"," demonios da garoa a lei do inquilinato ",1,"Am","C","demonios da garoa"
"17","2002"," demonios da garoa a lei do inquilinato ",1,"A7","C","demonios da garoa"
"18","2002"," demonios da garoa a lei do inquilinato ",1,"Dm","C","demonios da garoa"
"19","2002"," demonios da garoa a lei do inquilinato ",1,"E7","C","demonios da garoa"
"20","2002"," demonios da garoa a lei do inquilinato ",1,"Am","C","demonios da garoa"
"21","2002"," demonios da garoa a lei do inquilinato ",1,"A7","C","demonios da garoa"
"22","2002"," demonios da garoa a lei do inquilinato ",1,"Dm6","C","demonios da garoa"
"23","2002"," demonios da garoa a lei do inquilinato ",1,"Am","C","demonios da garoa"
"24","2002"," demonios da garoa a lei do inquilinato ",1,"B7","C","demonios da garoa"
"25","2002"," demonios da garoa a lei do inquilinato ",1,"E7","C","demonios da garoa"
"26","2002"," demonios da garoa a lei do inquilinato ",1,"Dm6","C","demonios da garoa"
"27","2002"," demonios da garoa a lei do inquilinato ",1,"Am6","C","demonios da garoa"
"28","2002"," demonios da garoa a lei do inquilinato ",1,"B7","C","demonios da garoa"
"29","2002"," demonios da garoa a lei do inquilinato ",1,"E7","C","demonios da garoa"
"30","2002"," demonios da garoa a lei do inquilinato ",1,"A7","C","demonios da garoa"
"31","2002"," demonios da garoa a lei do inquilinato ",1,"Dm","C","demonios da garoa"
"32","2002"," demonios da garoa a lei do inquilinato ",1,"Dm6","C","demonios da garoa"
"33","2002"," demonios da garoa a lei do inquilinato ",1,"Am6","C","demonios da garoa"
"34","2002"," demonios da garoa a lei do inquilinato ",1,"B7","C","demonios da garoa"
"35","2002"," demonios da garoa a lei do inquilinato ",1,"F7","C","demonios da garoa"
"36","2002"," demonios da garoa a lei do inquilinato ",1,"E7","C","demonios da garoa"
"37","2002"," demonios da garoa a lei do inquilinato ",1,"Dm6","C","demonios da garoa"
"38","2002"," demonios da garoa a lei do inquilinato ",1,"Am","C","demonios da garoa"
"39","2002"," demonios da garoa a lei do inquilinato ",1,"Am","C","demonios da garoa"
"40","2002"," demonios da garoa a lei do inquilinato ",1,"B7","C","demonios da garoa"
"41","2002"," demonios da garoa a lei do inquilinato ",1,"E7","C","demonios da garoa"
"42","2002"," demonios da garoa a lei do inquilinato ",1,"Am6","C","demonios da garoa"
"43","0"," demonios da garoa a lei do morro ",0,"Bm6/G#","D","demonios da garoa"
"44","0"," demonios da garoa a lei do morro ",0,"C#7","D","demonios da garoa"
"45","0"," demonios da garoa a lei do morro ",0,"F#m7","D","demonios da garoa"
"46","0"," demonios da garoa a lei do morro ",0,"Am6/F#","D","demonios da garoa"
"47","0"," demonios da garoa a lei do morro ",0,"B7","D","demonios da garoa"
"48","0"," demonios da garoa a lei do morro ",0,"Emaj7","D","demonios da garoa"
"49","0"," demonios da garoa a lei do morro ",0,"G#m7","D","demonios da garoa"
"50","0"," demonios da garoa a lei do morro ",0,"Gdim7","D","demonios da garoa"
"51","0"," demonios da garoa a lei do morro ",0,"F#m7","D","demonios da garoa"
"52","0"," demonios da garoa a lei do morro ",0,"B7","D","demonios da garoa"
"53","0"," demonios da garoa a lei do morro ",0,"Emaj7","D","demonios da garoa"
"54","0"," demonios da garoa a lei do morro ",0,"G#m7","D","demonios da garoa"
"55","0"," demonios da garoa a lei do morro ",0,"Gdim7","D","demonios da garoa"
"56","0"," demonios da garoa a lei do morro ",0,"F#m7","D","demonios da garoa"
"57","0"," demonios da garoa a lei do morro ",0,"B7","D","demonios da garoa"
"58","0"," demonios da garoa a lei do morro ",0,"C#7","D","demonios da garoa"
"59","0"," demonios da garoa a lei do morro ",0,"Bm6/G#","D","demonios da garoa"
"60","0"," demonios da garoa a lei do morro ",0,"C#7","D","demonios da garoa"
"61","0"," demonios da garoa a lei do morro ",0,"F#m7","D","demonios da garoa"
"62","0"," demonios da garoa a lei do morro ",0,"C#m7","D","demonios da garoa"
"63","0"," demonios da garoa a lei do morro ",0,"F#7","D","demonios da garoa"
"64","0"," demonios da garoa a lei do morro ",0,"F#m7","D","demonios da garoa"
"65","0"," demonios da garoa a lei do morro ",0,"B7","D","demonios da garoa"
"66","0"," demonios da garoa a lei do morro ",0,"Gdim7","D","demonios da garoa"
"67","0"," demonios da garoa a lei do morro ",0,"F#m7","D","demonios da garoa"
"68","0"," demonios da garoa a lei do morro ",0,"B7","D","demonios da garoa"
"69","0"," demonios da garoa a lei do morro ",0,"Emaj7","D","demonios da garoa"
"70","0"," demonios da garoa a lei do morro ",0,"G#m7","D","demonios da garoa"
"71","0"," demonios da garoa a lei do morro ",0,"Gdim7","D","demonios da garoa"
"72","0"," demonios da garoa a lei do morro ",0,"F#m7","D","demonios da garoa"
"73","0"," demonios da garoa a lei do morro ",0,"B7","D","demonios da garoa"
"74","0"," demonios da garoa a lei do morro ",0,"C#7","D","demonios da garoa"
"75","0"," demonios da garoa a lei do morro ",0,"Bm6/G#","D","demonios da garoa"
"76","0"," demonios da garoa a lei do morro ",0,"C#7","D","demonios da garoa"
"77","0"," demonios da garoa a lei do morro ",0,"F#m7","D","demonios da garoa"
"78","0"," demonios da garoa a lei do morro ",0,"C#m7","D","demonios da garoa"
"79","0"," demonios da garoa a lei do morro ",0,"F#7","D","demonios da garoa"
"80","0"," demonios da garoa a lei do morro ",0,"F#m7","D","demonios da garoa"
"81","0"," demonios da garoa a lei do morro ",0,"B7","D","demonios da garoa"
"82","0"," demonios da garoa a lei do morro ",0,"F#m7","D","demonios da garoa"
"83","0"," demonios da garoa a lei do morro ",0,"F#m7","D","demonios da garoa"
"84","0"," demonios da garoa a lei do morro ",0,"B7","D","demonios da garoa"
"85","0"," demonios da garoa a lei do morro ",0,"Emaj7","D","demonios da garoa"
"86","0"," demonios da garoa a lei do morro ",0,"F#m7","D","demonios da garoa"
"87","0"," demonios da garoa a lei do morro ",0,"G#m7","D","demonios da garoa"
"88","0"," demonios da garoa a lei do morro ",0,"Gdim7","D","demonios da garoa"
"89","0"," demonios da garoa a lei do morro ",0,"F#m7","D","demonios da garoa"
"90","0"," demonios da garoa a lei do morro ",0,"B7","D","demonios da garoa"
"91","0"," demonios da garoa a lei do morro ",0,"Bm6","D","demonios da garoa"
"92","0"," demonios da garoa a lei do morro ",0,"G#7","D","demonios da garoa"
"93","0"," demonios da garoa a lei do morro ",0,"C#7","D","demonios da garoa"
"94","0"," demonios da garoa a lei do morro ",0,"D7","D","demonios da garoa"
"95","0"," demonios da garoa a lei do morro ",0,"C#7","D","demonios da garoa"
"96","0"," demonios da garoa a lei do morro ",0,"F#m7","D","demonios da garoa"
"97","0"," demonios da garoa a lei do morro ",0,"C#m7","D","demonios da garoa"
"98","0"," demonios da garoa a lei do morro ",0,"F#7","D","demonios da garoa"
