"date","musica","popul","cifra","tom","autor"
"1","1957-04-08"," dorival caymmi 365 igrejas ",7,"FM7","F","dorival caymmi"
"2","1957-04-08"," dorival caymmi 365 igrejas ",7,"Bb7","F","dorival caymmi"
"3","1957-04-08"," dorival caymmi 365 igrejas ",7,"FM7","F","dorival caymmi"
"4","1957-04-08"," dorival caymmi 365 igrejas ",7,"Bb7","F","dorival caymmi"
"5","1957-04-08"," dorival caymmi 365 igrejas ",7,"FM7","F","dorival caymmi"
"6","1957-04-08"," dorival caymmi 365 igrejas ",7,"Gm7","F","dorival caymmi"
"7","1957-04-08"," dorival caymmi 365 igrejas ",7,"C7","F","dorival caymmi"
"8","1957-04-08"," dorival caymmi 365 igrejas ",7,"FM7","F","dorival caymmi"
"9","1957-04-08"," dorival caymmi 365 igrejas ",7,"Gm7","F","dorival caymmi"
"10","1957-04-08"," dorival caymmi 365 igrejas ",7,"C7","F","dorival caymmi"
"11","1957-04-08"," dorival caymmi 365 igrejas ",7,"FM7","F","dorival caymmi"
"12","1957-04-08"," dorival caymmi 365 igrejas ",7,"F#dim7","F","dorival caymmi"
"13","1957-04-08"," dorival caymmi 365 igrejas ",7,"Gm7","F","dorival caymmi"
"14","1957-04-08"," dorival caymmi 365 igrejas ",7,"C7","F","dorival caymmi"
"15","1957-04-08"," dorival caymmi 365 igrejas ",7,"Fm7","F","dorival caymmi"
"16","1957-04-08"," dorival caymmi 365 igrejas ",7,"FM7","F","dorival caymmi"
"17","1957-04-08"," dorival caymmi 365 igrejas ",7,"G#m7","F","dorival caymmi"
"18","1957-04-08"," dorival caymmi 365 igrejas ",7,"Gm7","F","dorival caymmi"
"19","1957-04-08"," dorival caymmi 365 igrejas ",7,"C7","F","dorival caymmi"
"20","1957-04-08"," dorival caymmi 365 igrejas ",7,"FM7","F","dorival caymmi"
"21","1957-04-08"," dorival caymmi 365 igrejas ",7,"D7","F","dorival caymmi"
"22","1957-04-08"," dorival caymmi 365 igrejas ",7,"Gm7","F","dorival caymmi"
"23","1957-04-08"," dorival caymmi 365 igrejas ",7,"C7","F","dorival caymmi"
"24","1957-04-08"," dorival caymmi 365 igrejas ",7,"FM7","F","dorival caymmi"
"25","1957-04-08"," dorival caymmi 365 igrejas ",7,"FM7","F","dorival caymmi"
"26","1957-04-08"," dorival caymmi 365 igrejas ",7,"D7","F","dorival caymmi"
"27","1957-04-08"," dorival caymmi 365 igrejas ",7,"Gm7","F","dorival caymmi"
"28","1957-04-08"," dorival caymmi 365 igrejas ",7,"Gm7","F","dorival caymmi"
"29","1957-04-08"," dorival caymmi 365 igrejas ",7,"C7","F","dorival caymmi"
"30","1957-04-08"," dorival caymmi 365 igrejas ",7,"FM7","F","dorival caymmi"
"31","1957-04-08"," dorival caymmi 365 igrejas ",7,"Cm7","F","dorival caymmi"
"32","1957-04-08"," dorival caymmi 365 igrejas ",7,"F7","F","dorival caymmi"
"33","1957-04-08"," dorival caymmi 365 igrejas ",7,"F7","F","dorival caymmi"
"34","1957-04-08"," dorival caymmi 365 igrejas ",7,"BbM7","F","dorival caymmi"
"35","1957-04-08"," dorival caymmi 365 igrejas ",7,"Bdim7","F","dorival caymmi"
"36","1957-04-08"," dorival caymmi 365 igrejas ",7,"FM7(C)","F","dorival caymmi"
"37","1957-04-08"," dorival caymmi 365 igrejas ",7,"D7","F","dorival caymmi"
"38","1957-04-08"," dorival caymmi 365 igrejas ",7,"Gm7","F","dorival caymmi"
"39","1957-04-08"," dorival caymmi 365 igrejas ",7,"C7","F","dorival caymmi"
"40","1957-04-08"," dorival caymmi 365 igrejas ",7,"F","F","dorival caymmi"
"41","1957-04-08"," dorival caymmi 365 igrejas ",7,"FM7","F","dorival caymmi"
"42","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Dmaj7","G","dorival caymmi"
"43","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Ebmaj7","G","dorival caymmi"
"44","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Dmaj7","G","dorival caymmi"
"45","2014-01-01"," dorival caymmi a vizinha do lado ",13,"D7M","G","dorival caymmi"
"46","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Bm7","G","dorival caymmi"
"47","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Em7","G","dorival caymmi"
"48","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Em7","G","dorival caymmi"
"49","2014-01-01"," dorival caymmi a vizinha do lado ",13,"A7","G","dorival caymmi"
"50","2014-01-01"," dorival caymmi a vizinha do lado ",13,"D6","G","dorival caymmi"
"51","2014-01-01"," dorival caymmi a vizinha do lado ",13,"D7M","G","dorival caymmi"
"52","2014-01-01"," dorival caymmi a vizinha do lado ",13,"D6","G","dorival caymmi"
"53","2014-01-01"," dorival caymmi a vizinha do lado ",13,"D6","G","dorival caymmi"
"54","2014-01-01"," dorival caymmi a vizinha do lado ",13,"D","G","dorival caymmi"
"55","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Am7","G","dorival caymmi"
"56","2014-01-01"," dorival caymmi a vizinha do lado ",13,"D7","G","dorival caymmi"
"57","2014-01-01"," dorival caymmi a vizinha do lado ",13,"G7M","G","dorival caymmi"
"58","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Em7","G","dorival caymmi"
"59","2014-01-01"," dorival caymmi a vizinha do lado ",13,"A7","G","dorival caymmi"
"60","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Em7","G","dorival caymmi"
"61","2014-01-01"," dorival caymmi a vizinha do lado ",13,"A7","G","dorival caymmi"
"62","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Dmaj7","G","dorival caymmi"
"63","2014-01-01"," dorival caymmi a vizinha do lado ",13,"D","G","dorival caymmi"
"64","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Em7","G","dorival caymmi"
"65","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Em7","G","dorival caymmi"
"66","2014-01-01"," dorival caymmi a vizinha do lado ",13,"A7","G","dorival caymmi"
"67","2014-01-01"," dorival caymmi a vizinha do lado ",13,"D","G","dorival caymmi"
"68","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Bm7","G","dorival caymmi"
"69","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Em7","G","dorival caymmi"
"70","2014-01-01"," dorival caymmi a vizinha do lado ",13,"A","G","dorival caymmi"
"71","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Dmaj7","G","dorival caymmi"
"72","2014-01-01"," dorival caymmi a vizinha do lado ",13,"D","G","dorival caymmi"
"73","2014-01-01"," dorival caymmi a vizinha do lado ",13,"Am7","G","dorival caymmi"
