"date","musica","popul","cifra","tom","autor"
"1","2014-09-16"," joao nogueira alem do espelho ",32,"D","D","joao nogueira"
"2","2014-09-16"," joao nogueira alem do espelho ",32,"E","D","joao nogueira"
"3","2014-09-16"," joao nogueira alem do espelho ",32,"Gm6","D","joao nogueira"
"4","2014-09-16"," joao nogueira alem do espelho ",32,"D","D","joao nogueira"
"5","2014-09-16"," joao nogueira alem do espelho ",32,"E","D","joao nogueira"
"6","2014-09-16"," joao nogueira alem do espelho ",32,"Gm6","D","joao nogueira"
"7","2014-09-16"," joao nogueira alem do espelho ",32,"D","D","joao nogueira"
"8","2014-09-16"," joao nogueira alem do espelho ",32,"A7","D","joao nogueira"
"9","2014-09-16"," joao nogueira alem do espelho ",32,"D7+","D","joao nogueira"
"10","2014-09-16"," joao nogueira alem do espelho ",32,"E7","D","joao nogueira"
"11","2014-09-16"," joao nogueira alem do espelho ",32,"A7","D","joao nogueira"
"12","2014-09-16"," joao nogueira alem do espelho ",32,"D7+","D","joao nogueira"
"13","2014-09-16"," joao nogueira alem do espelho ",32,"E7","D","joao nogueira"
"14","2014-09-16"," joao nogueira alem do espelho ",32,"A7","D","joao nogueira"
"15","2014-09-16"," joao nogueira alem do espelho ",32,"Am","D","joao nogueira"
"16","2014-09-16"," joao nogueira alem do espelho ",32,"D7","D","joao nogueira"
"17","2014-09-16"," joao nogueira alem do espelho ",32,"G7+","D","joao nogueira"
"18","2014-09-16"," joao nogueira alem do espelho ",32,"Gm6","D","joao nogueira"
"19","2014-09-16"," joao nogueira alem do espelho ",32,"F#m7","D","joao nogueira"
"20","2014-09-16"," joao nogueira alem do espelho ",32,"Bm7","D","joao nogueira"
"21","2014-09-16"," joao nogueira alem do espelho ",32,"E7","D","joao nogueira"
"22","2014-09-16"," joao nogueira alem do espelho ",32,"Gm6","D","joao nogueira"
"23","2014-09-16"," joao nogueira alem do espelho ",32,"D","D","joao nogueira"
"24","2014-09-16"," joao nogueira alem do espelho ",32,"D7","D","joao nogueira"
"25","2014-09-16"," joao nogueira alem do espelho ",32,"G7+","D","joao nogueira"
"26","2014-09-16"," joao nogueira alem do espelho ",32,"Gm6","D","joao nogueira"
"27","2014-09-16"," joao nogueira alem do espelho ",32,"D","D","joao nogueira"
"28","2014-09-16"," joao nogueira alem do espelho ",32,"D7","D","joao nogueira"
"29","2014-09-16"," joao nogueira alem do espelho ",32,"G7+","D","joao nogueira"
"30","2014-09-16"," joao nogueira alem do espelho ",32,"Gm6","D","joao nogueira"
"31","2014-09-16"," joao nogueira alem do espelho ",32,"F#m7","D","joao nogueira"
"32","2014-09-16"," joao nogueira alem do espelho ",32,"G5+7","D","joao nogueira"
"33","2014-09-16"," joao nogueira alem do espelho ",32,"E7/9","D","joao nogueira"
"34","2014-09-16"," joao nogueira alem do espelho ",32,"A7","D","joao nogueira"
"35","2014-09-16"," joao nogueira alem do espelho ",32,"D","D","joao nogueira"
"36","2014-09-16"," joao nogueira alem do espelho ",32,"Bm7","D","joao nogueira"
"37","2014-09-16"," joao nogueira alem do espelho ",32,"E7","D","joao nogueira"
"38","2014-09-16"," joao nogueira alem do espelho ",32,"A7","D","joao nogueira"
"39","2014-09-16"," joao nogueira alem do espelho ",32,"D","D","joao nogueira"
"40","2014-09-16"," joao nogueira alem do espelho ",32,"Bm7","D","joao nogueira"
"41","2014-09-16"," joao nogueira alem do espelho ",32,"E7","D","joao nogueira"
"42","2014-09-16"," joao nogueira alem do espelho ",32,"A7","D","joao nogueira"
"43","2014-09-16"," joao nogueira alem do espelho ",32,"D","D","joao nogueira"
"44","2014-09-16"," joao nogueira alem do espelho ",32,"D7+","D","joao nogueira"
"45","2014-09-16"," joao nogueira alem do espelho ",32,"A7","D","joao nogueira"
"46","2014-09-16"," joao nogueira alem do espelho ",32,"F#m7","D","joao nogueira"
"47","2014-09-16"," joao nogueira alem do espelho ",32,"Bm7","D","joao nogueira"
"48","2014-09-16"," joao nogueira alem do espelho ",32,"E7","D","joao nogueira"
"49","2014-09-16"," joao nogueira alem do espelho ",32,"Gm7","D","joao nogueira"
"50","2014-09-16"," joao nogueira alem do espelho ",32,"D","D","joao nogueira"
"51","2014-09-16"," joao nogueira alem do espelho ",32,"Bm7","D","joao nogueira"
"52","2014-09-16"," joao nogueira alem do espelho ",32,"E7","D","joao nogueira"
"53","2014-09-16"," joao nogueira alem do espelho ",32,"A7","D","joao nogueira"
"54","2014-09-16"," joao nogueira alem do espelho ",32,"D","D","joao nogueira"
"55","2014-09-16"," joao nogueira alem do espelho ",32,"Bm7","D","joao nogueira"
"56","2014-09-16"," joao nogueira alem do espelho ",32,"E7","D","joao nogueira"
"57","2014-09-16"," joao nogueira alem do espelho ",32,"A7","D","joao nogueira"
"58","2014-09-16"," joao nogueira alem do espelho ",32,"Am","D","joao nogueira"
"59","2014-09-16"," joao nogueira alem do espelho ",32,"D7","D","joao nogueira"
"60","2014-09-16"," joao nogueira alem do espelho ",32,"G7+","D","joao nogueira"
"61","2014-09-16"," joao nogueira alem do espelho ",32,"A7","D","joao nogueira"
"62","2014-09-16"," joao nogueira alem do espelho ",32,"F#m7","D","joao nogueira"
"63","2014-09-16"," joao nogueira alem do espelho ",32,"Bm7","D","joao nogueira"
"64","2014-09-16"," joao nogueira alem do espelho ",32,"E7","D","joao nogueira"
"65","2014-09-16"," joao nogueira alem do espelho ",32,"Gm6","D","joao nogueira"
"66","2014-09-16"," joao nogueira alem do espelho ",32,"D","D","joao nogueira"
"67","2014-09-16"," joao nogueira alem do espelho ",32,"D7","D","joao nogueira"
"68","2014-09-16"," joao nogueira alem do espelho ",32,"G7+","D","joao nogueira"
"69","2014-09-16"," joao nogueira alem do espelho ",32,"Gm6","D","joao nogueira"
"70","2014-09-16"," joao nogueira alem do espelho ",32,"D","D","joao nogueira"
"71","0"," joao nogueira apoteose do samba ",0,"D7+","G","joao nogueira"
"72","0"," joao nogueira apoteose do samba ",0,"A7","G","joao nogueira"
"73","0"," joao nogueira apoteose do samba ",0,"D7+","G","joao nogueira"
"74","0"," joao nogueira apoteose do samba ",0,"Am/C","G","joao nogueira"
"75","0"," joao nogueira apoteose do samba ",0,"B7","G","joao nogueira"
"76","0"," joao nogueira apoteose do samba ",0,"Em","G","joao nogueira"
"77","0"," joao nogueira apoteose do samba ",0,"Em5+","G","joao nogueira"
"78","0"," joao nogueira apoteose do samba ",0,"Em6","G","joao nogueira"
"79","0"," joao nogueira apoteose do samba ",0,"Em5+","G","joao nogueira"
"80","0"," joao nogueira apoteose do samba ",0,"Em","G","joao nogueira"
"81","0"," joao nogueira apoteose do samba ",0,"B7","G","joao nogueira"
"82","0"," joao nogueira apoteose do samba ",0,"Em","G","joao nogueira"
"83","0"," joao nogueira apoteose do samba ",0,"B7","G","joao nogueira"
"84","0"," joao nogueira apoteose do samba ",0,"Em","G","joao nogueira"
"85","0"," joao nogueira apoteose do samba ",0,"A/C#","G","joao nogueira"
"86","0"," joao nogueira apoteose do samba ",0,"F°","G","joao nogueira"
"87","0"," joao nogueira apoteose do samba ",0,"D/F#","G","joao nogueira"
"88","0"," joao nogueira apoteose do samba ",0,"Am/C","G","joao nogueira"
"89","0"," joao nogueira apoteose do samba ",0,"B7","G","joao nogueira"
"90","0"," joao nogueira apoteose do samba ",0,"Am/C","G","joao nogueira"
"91","0"," joao nogueira apoteose do samba ",0,"B7","G","joao nogueira"
"92","0"," joao nogueira apoteose do samba ",0,"Am/C","G","joao nogueira"
"93","0"," joao nogueira apoteose do samba ",0,"B7","G","joao nogueira"
"94","0"," joao nogueira apoteose do samba ",0,"Am/C","G","joao nogueira"
"95","0"," joao nogueira apoteose do samba ",0,"B7","G","joao nogueira"
"96","0"," joao nogueira apoteose do samba ",0,"Em","G","joao nogueira"
"97","0"," joao nogueira apoteose do samba ",0,"Gm7","G","joao nogueira"
"98","0"," joao nogueira apoteose do samba ",0,"C7/9","G","joao nogueira"
"99","0"," joao nogueira apoteose do samba ",0,"F#m7","G","joao nogueira"
"100","0"," joao nogueira apoteose do samba ",0,"Am/C","G","joao nogueira"
"101","0"," joao nogueira apoteose do samba ",0,"B7","G","joao nogueira"
"102","0"," joao nogueira apoteose do samba ",0,"Em","G","joao nogueira"
"103","0"," joao nogueira apoteose do samba ",0,"A7","G","joao nogueira"
"104","0"," joao nogueira apoteose do samba ",0,"D","G","joao nogueira"
"105","0"," joao nogueira apoteose do samba ",0,"A7","G","joao nogueira"
"106","0"," joao nogueira apoteose do samba ",0,"D","G","joao nogueira"
"107","0"," joao nogueira apoteose do samba ",0,"Em","G","joao nogueira"
"108","0"," joao nogueira apoteose do samba ",0,"G","G","joao nogueira"
"109","0"," joao nogueira apoteose do samba ",0,"G#°","G","joao nogueira"
"110","0"," joao nogueira apoteose do samba ",0,"A/G","G","joao nogueira"
"111","0"," joao nogueira apoteose do samba ",0,"D7+/F#","G","joao nogueira"
"112","0"," joao nogueira apoteose do samba ",0,"Am/C","G","joao nogueira"
"113","0"," joao nogueira apoteose do samba ",0,"B7","G","joao nogueira"
"114","0"," joao nogueira apoteose do samba ",0,"Em","G","joao nogueira"
"115","0"," joao nogueira apoteose do samba ",0,"Gm7","G","joao nogueira"
"116","0"," joao nogueira apoteose do samba ",0,"C7/9","G","joao nogueira"
"117","0"," joao nogueira apoteose do samba ",0,"D","G","joao nogueira"
"118","0"," joao nogueira apoteose do samba ",0,"B7","G","joao nogueira"
"119","0"," joao nogueira apoteose do samba ",0,"Em","G","joao nogueira"
"120","0"," joao nogueira apoteose do samba ",0,"A7","G","joao nogueira"
"121","0"," joao nogueira apoteose do samba ",0,"D","G","joao nogueira"
"122","0"," joao nogueira apoteose do samba ",0,"A7","G","joao nogueira"
"123","0"," joao nogueira apoteose do samba ",0,"D","G","joao nogueira"
"124","0"," joao nogueira apoteose do samba ",0,"Em","G","joao nogueira"
"125","0"," joao nogueira apoteose do samba ",0,"G","G","joao nogueira"
