"date","musica","popul","cifra","tom","autor"
"1","1999"," leci brandao afina viola ",3,"Ab","C#","leci brandao"
"2","1999"," leci brandao afina viola ",3,"Fm7","C#","leci brandao"
"3","1999"," leci brandao afina viola ",3,"Bbm7","C#","leci brandao"
"4","1999"," leci brandao afina viola ",3,"Bbm7","C#","leci brandao"
"5","1999"," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"6","1999"," leci brandao afina viola ",3,"Cm7","C#","leci brandao"
"7","1999"," leci brandao afina viola ",3,"F7","C#","leci brandao"
"8","1999"," leci brandao afina viola ",3,"Bbm7","C#","leci brandao"
"9","1999"," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"10","1999"," leci brandao afina viola ",3,"Ab","C#","leci brandao"
"11","1999"," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"12","1999"," leci brandao afina viola ",3,"Ab","C#","leci brandao"
"13","1999"," leci brandao afina viola ",3,"Db7","C#","leci brandao"
"14","1999"," leci brandao afina viola ",3,"Ab","C#","leci brandao"
"15","1999"," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"16","1999"," leci brandao afina viola ",3,"Ab","C#","leci brandao"
"17","1999"," leci brandao afina viola ",3,"Fm7","C#","leci brandao"
"18","1999"," leci brandao afina viola ",3,"Ebm","C#","leci brandao"
"19","1999"," leci brandao afina viola ",3,"Ab7","C#","leci brandao"
"20","1999"," leci brandao afina viola ",3,"D7+","C#","leci brandao"
"21","1999"," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"22","1999"," leci brandao afina viola ",3,"Cm7","C#","leci brandao"
"23","1999"," leci brandao afina viola ",3,"Gb7","C#","leci brandao"
"24","1999"," leci brandao afina viola ",3,"F7","C#","leci brandao"
"25","1999"," leci brandao afina viola ",3,"Bbm7","C#","leci brandao"
"26","1999"," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"27","1999"," leci brandao afina viola ",3,"Cm7","C#","leci brandao"
"28","1999"," leci brandao afina viola ",3,"F7","C#","leci brandao"
"29","1999"," leci brandao afina viola ",3,"Bbm7","C#","leci brandao"
"30","1999"," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"31","1999"," leci brandao afina viola ",3,"Ab","C#","leci brandao"
"32","1999"," leci brandao afina viola ",3,"Fm7","C#","leci brandao"
"33","1999"," leci brandao afina viola ",3,"Bbm7","C#","leci brandao"
"34","1999"," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"35","1999"," leci brandao afina viola ",3,"Ab","C#","leci brandao"
"36","1999"," leci brandao afina viola ",3,"Fm7","C#","leci brandao"
"37","1999"," leci brandao afina viola ",3,"Bbm7","C#","leci brandao"
"38","1999"," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"39","1999"," leci brandao afina viola ",3,"Ebm","C#","leci brandao"
"40","1999"," leci brandao afina viola ",3,"Ab7","C#","leci brandao"
"41","1999"," leci brandao afina viola ",3,"Db7+","C#","leci brandao"
"42","1999"," leci brandao afina viola ",3,"Eb7","C#","leci brandao"
"43","1999"," leci brandao afina viola ",3,"Cm7","C#","leci brandao"
"44","1999"," leci brandao afina viola ",3,"Gb7","C#","leci brandao"
"45","1999"," leci brandao afina viola ",3,"F7","C#","leci brandao"
"46","2001"," leci brandao agenda ",30,"Bb°","D#","leci brandao"
"47","2001"," leci brandao agenda ",30,"Dm","D#","leci brandao"
"48","2001"," leci brandao agenda ",30,"Gm7","D#","leci brandao"
"49","2001"," leci brandao agenda ",30,"Cm","D#","leci brandao"
"50","2001"," leci brandao agenda ",30,"F7","D#","leci brandao"
"51","2001"," leci brandao agenda ",30,"Dm","D#","leci brandao"
"52","2001"," leci brandao agenda ",30,"Dbm","D#","leci brandao"
"53","2001"," leci brandao agenda ",30,"Cm","D#","leci brandao"
"54","2001"," leci brandao agenda ",30,"F7","D#","leci brandao"
"55","2001"," leci brandao agenda ",30,"Bb7+","D#","leci brandao"
"56","2001"," leci brandao agenda ",30,"F7","D#","leci brandao"
"57","2001"," leci brandao agenda ",30,"Bb7+","D#","leci brandao"
"58","2001"," leci brandao agenda ",30,"Bb6","D#","leci brandao"
"59","2001"," leci brandao agenda ",30,"Bb7+","D#","leci brandao"
"60","2001"," leci brandao agenda ",30,"Dm5-/7","D#","leci brandao"
"61","2001"," leci brandao agenda ",30,"G7","D#","leci brandao"
"62","2001"," leci brandao agenda ",30,"Cm","D#","leci brandao"
"63","2001"," leci brandao agenda ",30,"G7","D#","leci brandao"
"64","2001"," leci brandao agenda ",30,"Cm","D#","leci brandao"
"65","2001"," leci brandao agenda ",30,"Dm","D#","leci brandao"
"66","2001"," leci brandao agenda ",30,"Eb7+","D#","leci brandao"
"67","2001"," leci brandao agenda ",30,"F7","D#","leci brandao"
"68","2001"," leci brandao agenda ",30,"F7/9","D#","leci brandao"
"69","2001"," leci brandao agenda ",30,"Dm","D#","leci brandao"
"70","2001"," leci brandao agenda ",30,"Dbm","D#","leci brandao"
"71","2001"," leci brandao agenda ",30,"Cm","D#","leci brandao"
"72","2001"," leci brandao agenda ",30,"F7","D#","leci brandao"
"73","2001"," leci brandao agenda ",30,"Bb7+","D#","leci brandao"
"74","2001"," leci brandao agenda ",30,"Bb6","D#","leci brandao"
"75","2001"," leci brandao agenda ",30,"Bb7+","D#","leci brandao"
"76","2001"," leci brandao agenda ",30,"Bb6","D#","leci brandao"
"77","2001"," leci brandao agenda ",30,"Bb7","D#","leci brandao"
"78","2001"," leci brandao agenda ",30,"Eb","D#","leci brandao"
"79","2001"," leci brandao agenda ",30,"Eb5+","D#","leci brandao"
"80","2001"," leci brandao agenda ",30,"Eb6","D#","leci brandao"
"81","2001"," leci brandao agenda ",30,"Eb7","D#","leci brandao"
"82","2001"," leci brandao agenda ",30,"Eb7+","D#","leci brandao"
"83","2001"," leci brandao agenda ",30,"F7","D#","leci brandao"
"84","2001"," leci brandao agenda ",30,"F7/9","D#","leci brandao"
"85","2001"," leci brandao agenda ",30,"Dm","D#","leci brandao"
"86","2001"," leci brandao agenda ",30,"Ab7","D#","leci brandao"
"87","2001"," leci brandao agenda ",30,"G7","D#","leci brandao"
"88","2001"," leci brandao agenda ",30,"C7","D#","leci brandao"
"89","2001"," leci brandao agenda ",30,"Dm","D#","leci brandao"
"90","2001"," leci brandao agenda ",30,"Eb7+","D#","leci brandao"
"91","2001"," leci brandao agenda ",30,"F7","D#","leci brandao"
"92","2001"," leci brandao agenda ",30,"Dm5-/7","D#","leci brandao"
"93","2001"," leci brandao agenda ",30,"G7","D#","leci brandao"
"94","2001"," leci brandao agenda ",30,"Eb7+","D#","leci brandao"
"95","2001"," leci brandao agenda ",30,"F7","D#","leci brandao"
"96","2001"," leci brandao agenda ",30,"F7/9","D#","leci brandao"
"97","2001"," leci brandao agenda ",30,"Dm","D#","leci brandao"
"98","2001"," leci brandao agenda ",30,"Ab7","D#","leci brandao"
"99","2001"," leci brandao agenda ",30,"G7","D#","leci brandao"
"100","2001"," leci brandao agenda ",30,"C7","D#","leci brandao"
"101","2001"," leci brandao agenda ",30,"Cm","D#","leci brandao"
"102","2001"," leci brandao agenda ",30,"Ebm","D#","leci brandao"
"103","2001"," leci brandao agenda ",30,"F7","D#","leci brandao"
"104","2001"," leci brandao agenda ",30,"Dm","D#","leci brandao"
"105","2001"," leci brandao agenda ",30,"G7","D#","leci brandao"
"106","2001"," leci brandao agenda ",30,"Eb7+","D#","leci brandao"
"107","2001"," leci brandao agenda ",30,"F7","D#","leci brandao"
"108","2001"," leci brandao agenda ",30,"F7/9","D#","leci brandao"
"109","2001"," leci brandao agenda ",30,"Dm","D#","leci brandao"
"110","2001"," leci brandao agenda ",30,"Ab7","D#","leci brandao"
"111","2001"," leci brandao agenda ",30,"G7","D#","leci brandao"
"112","2001"," leci brandao agenda ",30,"C7","D#","leci brandao"
"113","2001"," leci brandao agenda ",30,"Cm","D#","leci brandao"
"114","2001"," leci brandao agenda ",30,"Ebm","D#","leci brandao"
"115","2001"," leci brandao agenda ",30,"F7","D#","leci brandao"
"116","2001"," leci brandao agenda ",30,"Bb°","D#","leci brandao"
"117","2013-01-14"," leci brandao anjos da guarda ",14,"D","D","leci brandao"
"118","2013-01-14"," leci brandao anjos da guarda ",14,"G","D","leci brandao"
"119","2013-01-14"," leci brandao anjos da guarda ",14,"D","D","leci brandao"
"120","2013-01-14"," leci brandao anjos da guarda ",14,"A","D","leci brandao"
