"date","musica","popul","cifra","tom","autor"
"1","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"2","1998"," martinho da vila a flor e o samba ",11,"B7","D","martinho da vila"
"3","1998"," martinho da vila a flor e o samba ",11,"Em","D","martinho da vila"
"4","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"5","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"6","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"7","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"8","1998"," martinho da vila a flor e o samba ",11,"B7","D","martinho da vila"
"9","1998"," martinho da vila a flor e o samba ",11,"Em","D","martinho da vila"
"10","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"11","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"12","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"13","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"14","1998"," martinho da vila a flor e o samba ",11,"B7","D","martinho da vila"
"15","1998"," martinho da vila a flor e o samba ",11,"Em","D","martinho da vila"
"16","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"17","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"18","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"19","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"20","1998"," martinho da vila a flor e o samba ",11,"B7","D","martinho da vila"
"21","1998"," martinho da vila a flor e o samba ",11,"Em","D","martinho da vila"
"22","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"23","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"24","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"25","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"26","1998"," martinho da vila a flor e o samba ",11,"B7","D","martinho da vila"
"27","1998"," martinho da vila a flor e o samba ",11,"Em","D","martinho da vila"
"28","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"29","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"30","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"31","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"32","1998"," martinho da vila a flor e o samba ",11,"B7","D","martinho da vila"
"33","1998"," martinho da vila a flor e o samba ",11,"Em","D","martinho da vila"
"34","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"35","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"36","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"37","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"38","1998"," martinho da vila a flor e o samba ",11,"B7","D","martinho da vila"
"39","1998"," martinho da vila a flor e o samba ",11,"Em","D","martinho da vila"
"40","1998"," martinho da vila a flor e o samba ",11,"A","D","martinho da vila"
"41","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"42","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"43","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"44","1998"," martinho da vila a flor e o samba ",11,"B7","D","martinho da vila"
"45","1998"," martinho da vila a flor e o samba ",11,"Em","D","martinho da vila"
"46","1998"," martinho da vila a flor e o samba ",11,"A","D","martinho da vila"
"47","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"48","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"49","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"50","1998"," martinho da vila a flor e o samba ",11,"B7","D","martinho da vila"
"51","1998"," martinho da vila a flor e o samba ",11,"Em","D","martinho da vila"
"52","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"53","1998"," martinho da vila a flor e o samba ",11,"D","D","martinho da vila"
"54","1998"," martinho da vila a flor e o samba ",11,"A7","D","martinho da vila"
"55","2012-01-01"," martinho da vila a vila canta o brasil celeiro do mundo ",24,"F","F","martinho da vila"
"56","2012-01-01"," martinho da vila a vila canta o brasil celeiro do mundo ",24,"D7","F","martinho da vila"
"57","2012-01-01"," martinho da vila a vila canta o brasil celeiro do mundo ",24,"Gm","F","martinho da vila"
"58","2012-01-01"," martinho da vila a vila canta o brasil celeiro do mundo ",24,"C","F","martinho da vila"
"59","2012-01-01"," martinho da vila a vila canta o brasil celeiro do mundo ",24,"C7","F","martinho da vila"
"60","2012-01-01"," martinho da vila a vila canta o brasil celeiro do mundo ",24,"F","F","martinho da vila"
"61","2012-01-01"," martinho da vila a vila canta o brasil celeiro do mundo ",24,"Bb","F","martinho da vila"
"62","2012-01-01"," martinho da vila a vila canta o brasil celeiro do mundo ",24,"C","F","martinho da vila"
"63","2012-01-01"," martinho da vila a vila canta o brasil celeiro do mundo ",24,"C7","F","martinho da vila"
"64","2012-01-01"," martinho da vila a vila canta o brasil celeiro do mundo ",24,"F","F","martinho da vila"
"65","2012-01-01"," martinho da vila a vila canta o brasil celeiro do mundo ",24,"F","F","martinho da vila"
"66","2012-01-01"," martinho da vila a vila canta o brasil celeiro do mundo ",24,"D7","F","martinho da vila"
