"date","musica","popul","cifra","tom","autor"
"1","0"," noel rosa musicas a melhor do planeta ",0,"C","G","noel rosa musicas"
"2","0"," noel rosa musicas a melhor do planeta ",0,"Cm","G","noel rosa musicas"
"3","0"," noel rosa musicas a melhor do planeta ",0,"G","G","noel rosa musicas"
"4","0"," noel rosa musicas a melhor do planeta ",0,"Bm","G","noel rosa musicas"
"5","0"," noel rosa musicas a melhor do planeta ",0,"E7","G","noel rosa musicas"
"6","0"," noel rosa musicas a melhor do planeta ",0,"A7","G","noel rosa musicas"
"7","0"," noel rosa musicas a melhor do planeta ",0,"D7","G","noel rosa musicas"
"8","0"," noel rosa musicas a melhor do planeta ",0,"G7","G","noel rosa musicas"
"9","0"," noel rosa musicas a melhor do planeta ",0,"D7","G","noel rosa musicas"
"10","0"," noel rosa musicas a melhor do planeta ",0,"G","G","noel rosa musicas"
"11","0"," noel rosa musicas a melhor do planeta ",0,"D7","G","noel rosa musicas"
"12","0"," noel rosa musicas a melhor do planeta ",0,"Am7","G","noel rosa musicas"
"13","0"," noel rosa musicas a melhor do planeta ",0,"D7","G","noel rosa musicas"
"14","0"," noel rosa musicas a melhor do planeta ",0,"G","G","noel rosa musicas"
"15","0"," noel rosa musicas a melhor do planeta ",0,"G7","G","noel rosa musicas"
"16","0"," noel rosa musicas a melhor do planeta ",0,"C","G","noel rosa musicas"
"17","0"," noel rosa musicas a melhor do planeta ",0,"Cm","G","noel rosa musicas"
"18","0"," noel rosa musicas a melhor do planeta ",0,"G","G","noel rosa musicas"
"19","0"," noel rosa musicas a melhor do planeta ",0,"Bm7(b5)","G","noel rosa musicas"
"20","0"," noel rosa musicas a melhor do planeta ",0,"E7","G","noel rosa musicas"
"21","0"," noel rosa musicas a melhor do planeta ",0,"A7","G","noel rosa musicas"
"22","0"," noel rosa musicas a melhor do planeta ",0,"A7/C#","G","noel rosa musicas"
"23","0"," noel rosa musicas a melhor do planeta ",0,"A7","G","noel rosa musicas"
"24","0"," noel rosa musicas a melhor do planeta ",0,"D7/A","G","noel rosa musicas"
"25","0"," noel rosa musicas a melhor do planeta ",0,"G#°","G","noel rosa musicas"
"26","0"," noel rosa musicas a melhor do planeta ",0,"D7/A","G","noel rosa musicas"
"27","0"," noel rosa musicas a melhor do planeta ",0,"D7","G","noel rosa musicas"
"28","0"," noel rosa musicas a melhor do planeta ",0,"G","G","noel rosa musicas"
"29","0"," noel rosa musicas a melhor do planeta ",0,"D7","G","noel rosa musicas"
"30","0"," noel rosa musicas a melhor do planeta ",0,"Am7","G","noel rosa musicas"
"31","0"," noel rosa musicas a melhor do planeta ",0,"D7","G","noel rosa musicas"
"32","0"," noel rosa musicas a melhor do planeta ",0,"G","G","noel rosa musicas"
"33","0"," noel rosa musicas a melhor do planeta ",0,"G7","G","noel rosa musicas"
"34","0"," noel rosa musicas a melhor do planeta ",0,"C","G","noel rosa musicas"
"35","0"," noel rosa musicas a melhor do planeta ",0,"Cm","G","noel rosa musicas"
"36","0"," noel rosa musicas a melhor do planeta ",0,"G","G","noel rosa musicas"
"37","0"," noel rosa musicas a melhor do planeta ",0,"Bm(b5)","G","noel rosa musicas"
"38","0"," noel rosa musicas a melhor do planeta ",0,"E7","G","noel rosa musicas"
"39","0"," noel rosa musicas a melhor do planeta ",0,"A7","G","noel rosa musicas"
"40","0"," noel rosa musicas a melhor do planeta ",0,"A7/C#","G","noel rosa musicas"
"41","0"," noel rosa musicas a melhor do planeta ",0,"A7","G","noel rosa musicas"
"42","0"," noel rosa musicas a melhor do planeta ",0,"D7/A","G","noel rosa musicas"
"43","0"," noel rosa musicas a melhor do planeta ",0,"G#°","G","noel rosa musicas"
"44","0"," noel rosa musicas a melhor do planeta ",0,"D7/A","G","noel rosa musicas"
"45","0"," noel rosa musicas a melhor do planeta ",0,"G7","G","noel rosa musicas"
"46","0"," noel rosa musicas a melhor do planeta ",0,"C","G","noel rosa musicas"
"47","0"," noel rosa musicas a melhor do planeta ",0,"Cm","G","noel rosa musicas"
"48","0"," noel rosa musicas a melhor do planeta ",0,"G","G","noel rosa musicas"
"49","0"," noel rosa musicas a melhor do planeta ",0,"Bm","G","noel rosa musicas"
"50","0"," noel rosa musicas a melhor do planeta ",0,"E7","G","noel rosa musicas"
"51","0"," noel rosa musicas a melhor do planeta ",0,"A7","G","noel rosa musicas"
"52","0"," noel rosa musicas a melhor do planeta ",0,"D7","G","noel rosa musicas"
"53","0"," noel rosa musicas a melhor do planeta ",0,"D7/F#","G","noel rosa musicas"
"54","0"," noel rosa musicas a melhor do planeta ",0,"G","G","noel rosa musicas"
"55","0"," noel rosa musicas a b surdo ",0,"C7","C","noel rosa musicas"
"56","0"," noel rosa musicas a b surdo ",0,"F","C","noel rosa musicas"
"57","0"," noel rosa musicas a b surdo ",0,"Fm/Ab","C","noel rosa musicas"
"58","0"," noel rosa musicas a b surdo ",0,"C/G","C","noel rosa musicas"
"59","0"," noel rosa musicas a b surdo ",0,"A7","C","noel rosa musicas"
"60","0"," noel rosa musicas a b surdo ",0,"D7","C","noel rosa musicas"
"61","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"62","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"63","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"64","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"65","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"66","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"67","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"68","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"69","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"70","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"71","0"," noel rosa musicas a b surdo ",0,"E7","C","noel rosa musicas"
"72","0"," noel rosa musicas a b surdo ",0,"Am","C","noel rosa musicas"
"73","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"74","0"," noel rosa musicas a b surdo ",0,"D7","C","noel rosa musicas"
"75","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"76","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"77","0"," noel rosa musicas a b surdo ",0,"E7","C","noel rosa musicas"
"78","0"," noel rosa musicas a b surdo ",0,"Am","C","noel rosa musicas"
"79","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"80","0"," noel rosa musicas a b surdo ",0,"D7","C","noel rosa musicas"
"81","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"82","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"83","0"," noel rosa musicas a b surdo ",0,"F","C","noel rosa musicas"
"84","0"," noel rosa musicas a b surdo ",0,"Fm/Ab","C","noel rosa musicas"
"85","0"," noel rosa musicas a b surdo ",0,"C/G","C","noel rosa musicas"
"86","0"," noel rosa musicas a b surdo ",0,"A7","C","noel rosa musicas"
"87","0"," noel rosa musicas a b surdo ",0,"D7","C","noel rosa musicas"
"88","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"89","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"90","0"," noel rosa musicas a b surdo ",0,"C7","C","noel rosa musicas"
"91","0"," noel rosa musicas a b surdo ",0,"F","C","noel rosa musicas"
"92","0"," noel rosa musicas a b surdo ",0,"Fm/Ab","C","noel rosa musicas"
"93","0"," noel rosa musicas a b surdo ",0,"C/G","C","noel rosa musicas"
"94","0"," noel rosa musicas a b surdo ",0,"A7","C","noel rosa musicas"
"95","0"," noel rosa musicas a b surdo ",0,"D7","C","noel rosa musicas"
"96","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"97","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"98","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"99","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"100","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"101","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"102","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"103","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"104","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"105","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"106","0"," noel rosa musicas a b surdo ",0,"E7","C","noel rosa musicas"
"107","0"," noel rosa musicas a b surdo ",0,"Am","C","noel rosa musicas"
"108","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"109","0"," noel rosa musicas a b surdo ",0,"D7","C","noel rosa musicas"
"110","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"111","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"112","0"," noel rosa musicas a b surdo ",0,"E7","C","noel rosa musicas"
"113","0"," noel rosa musicas a b surdo ",0,"Am","C","noel rosa musicas"
"114","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"115","0"," noel rosa musicas a b surdo ",0,"D7","C","noel rosa musicas"
"116","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"117","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"118","0"," noel rosa musicas a b surdo ",0,"F","C","noel rosa musicas"
"119","0"," noel rosa musicas a b surdo ",0,"Fm/Ab","C","noel rosa musicas"
"120","0"," noel rosa musicas a b surdo ",0,"C/G","C","noel rosa musicas"
"121","0"," noel rosa musicas a b surdo ",0,"A7","C","noel rosa musicas"
"122","0"," noel rosa musicas a b surdo ",0,"D7","C","noel rosa musicas"
"123","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"124","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"125","0"," noel rosa musicas a b surdo ",0,"C7","C","noel rosa musicas"
"126","0"," noel rosa musicas a b surdo ",0,"F","C","noel rosa musicas"
"127","0"," noel rosa musicas a b surdo ",0,"Fm/Ab","C","noel rosa musicas"
"128","0"," noel rosa musicas a b surdo ",0,"C/G","C","noel rosa musicas"
"129","0"," noel rosa musicas a b surdo ",0,"A7","C","noel rosa musicas"
"130","0"," noel rosa musicas a b surdo ",0,"D7","C","noel rosa musicas"
"131","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"132","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"133","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"134","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"135","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"136","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"137","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"138","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"139","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"140","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"141","0"," noel rosa musicas a b surdo ",0,"E7","C","noel rosa musicas"
"142","0"," noel rosa musicas a b surdo ",0,"Am","C","noel rosa musicas"
"143","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"144","0"," noel rosa musicas a b surdo ",0,"D7","C","noel rosa musicas"
"145","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"146","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"147","0"," noel rosa musicas a b surdo ",0,"E7","C","noel rosa musicas"
"148","0"," noel rosa musicas a b surdo ",0,"Am","C","noel rosa musicas"
"149","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"150","0"," noel rosa musicas a b surdo ",0,"D7","C","noel rosa musicas"
"151","0"," noel rosa musicas a b surdo ",0,"G7","C","noel rosa musicas"
"152","0"," noel rosa musicas a b surdo ",0,"C","C","noel rosa musicas"
"153","0"," noel rosa musicas aeiou ",0,"G","D","noel rosa musicas"
"154","0"," noel rosa musicas aeiou ",0,"G#°","D","noel rosa musicas"
"155","0"," noel rosa musicas aeiou ",0,"D/A","D","noel rosa musicas"
"156","0"," noel rosa musicas aeiou ",0,"D/F#","D","noel rosa musicas"
"157","0"," noel rosa musicas aeiou ",0,"F°","D","noel rosa musicas"
"158","0"," noel rosa musicas aeiou ",0,"Em","D","noel rosa musicas"
"159","0"," noel rosa musicas aeiou ",0,"A7","D","noel rosa musicas"
"160","0"," noel rosa musicas aeiou ",0,"D","D","noel rosa musicas"
"161","0"," noel rosa musicas aeiou ",0,"D7","D","noel rosa musicas"
"162","0"," noel rosa musicas aeiou ",0,"G","D","noel rosa musicas"
"163","0"," noel rosa musicas aeiou ",0,"G#°","D","noel rosa musicas"
"164","0"," noel rosa musicas aeiou ",0,"D/A","D","noel rosa musicas"
"165","0"," noel rosa musicas aeiou ",0,"D/F#","D","noel rosa musicas"
"166","0"," noel rosa musicas aeiou ",0,"F°","D","noel rosa musicas"
"167","0"," noel rosa musicas aeiou ",0,"Em","D","noel rosa musicas"
"168","0"," noel rosa musicas aeiou ",0,"A7","D","noel rosa musicas"
"169","0"," noel rosa musicas aeiou ",0,"D","D","noel rosa musicas"
"170","0"," noel rosa musicas aeiou ",0,"D","D","noel rosa musicas"
"171","0"," noel rosa musicas aeiou ",0,"A7/C#","D","noel rosa musicas"
"172","0"," noel rosa musicas aeiou ",0,"D","D","noel rosa musicas"
"173","0"," noel rosa musicas aeiou ",0,"G/B","D","noel rosa musicas"
"174","0"," noel rosa musicas aeiou ",0,"F","D","noel rosa musicas"
