"date","musica","popul","cifra","tom","autor"
"1","0"," paulinho da viola 14 anos ",0,"G","C","paulinho da viola"
"2","0"," paulinho da viola 14 anos ",0,"G","C","paulinho da viola"
"3","0"," paulinho da viola 14 anos ",0,"E","C","paulinho da viola"
"4","0"," paulinho da viola 14 anos ",0,"A7","C","paulinho da viola"
"5","0"," paulinho da viola 14 anos ",0,"D7","C","paulinho da viola"
"6","0"," paulinho da viola 14 anos ",0,"G7+","C","paulinho da viola"
"7","0"," paulinho da viola 14 anos ",0,"D7","C","paulinho da viola"
"8","0"," paulinho da viola 14 anos ",0,"G7+","C","paulinho da viola"
"9","0"," paulinho da viola 14 anos ",0,"Dm7","C","paulinho da viola"
"10","0"," paulinho da viola 14 anos ",0,"G7","C","paulinho da viola"
"11","0"," paulinho da viola 14 anos ",0,"C","C","paulinho da viola"
"12","0"," paulinho da viola 14 anos ",0,"D7","C","paulinho da viola"
"13","0"," paulinho da viola 14 anos ",0,"G","C","paulinho da viola"
"14","0"," paulinho da viola 14 anos ",0,"B7","C","paulinho da viola"
"15","0"," paulinho da viola 14 anos ",0,"Em","C","paulinho da viola"
"16","0"," paulinho da viola 14 anos ",0,"B7","C","paulinho da viola"
"17","0"," paulinho da viola 14 anos ",0,"Em","C","paulinho da viola"
"18","0"," paulinho da viola 14 anos ",0,"D7","C","paulinho da viola"
"19","0"," paulinho da viola 14 anos ",0,"G","C","paulinho da viola"
"20","0"," paulinho da viola 14 anos ",0,"Gº","C","paulinho da viola"
"21","0"," paulinho da viola 14 anos ",0,"Am7","C","paulinho da viola"
"22","0"," paulinho da viola 14 anos ",0,"D7","C","paulinho da viola"
"23","0"," paulinho da viola 14 anos ",0,"G7+","C","paulinho da viola"
"24","0"," paulinho da viola 14 anos ",0,"B7","C","paulinho da viola"
"25","0"," paulinho da viola 14 anos ",0,"Em","C","paulinho da viola"
"26","0"," paulinho da viola 14 anos ",0,"A7","C","paulinho da viola"
"27","0"," paulinho da viola 14 anos ",0,"Am7","C","paulinho da viola"
"28","0"," paulinho da viola 14 anos ",0,"D7","C","paulinho da viola"
"29","0"," paulinho da viola 14 anos ",0,"G","C","paulinho da viola"
"30","0"," paulinho da viola 14 anos ",0,"B7","C","paulinho da viola"
"31","0"," paulinho da viola 14 anos ",0,"Em","C","paulinho da viola"
"32","0"," paulinho da viola 14 anos ",0,"F#7","C","paulinho da viola"
"33","0"," paulinho da viola 14 anos ",0,"B7","C","paulinho da viola"
