"date","musica","popul","cifra","tom","autor"
"1","2007"," capital inicial 18 ",16,"A","A","capital inicial"
"2","2007"," capital inicial 18 ",16,"E/G#","A","capital inicial"
"3","2007"," capital inicial 18 ",16,"F#m","A","capital inicial"
"4","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"5","2007"," capital inicial 18 ",16,"A","A","capital inicial"
"6","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"7","2007"," capital inicial 18 ",16,"F#m","A","capital inicial"
"8","2007"," capital inicial 18 ",16,"A","A","capital inicial"
"9","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"10","2007"," capital inicial 18 ",16,"F#m","A","capital inicial"
"11","2007"," capital inicial 18 ",16,"D","A","capital inicial"
"12","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"13","2007"," capital inicial 18 ",16,"D","A","capital inicial"
"14","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"15","2007"," capital inicial 18 ",16,"D","A","capital inicial"
"16","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"17","2007"," capital inicial 18 ",16,"F#m","A","capital inicial"
"18","2007"," capital inicial 18 ",16,"A","A","capital inicial"
"19","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"20","2007"," capital inicial 18 ",16,"F#m","A","capital inicial"
"21","2007"," capital inicial 18 ",16,"A","A","capital inicial"
"22","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"23","2007"," capital inicial 18 ",16,"F#m","A","capital inicial"
"24","2007"," capital inicial 18 ",16,"D","A","capital inicial"
"25","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"26","2007"," capital inicial 18 ",16,"D","A","capital inicial"
"27","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"28","2007"," capital inicial 18 ",16,"D","A","capital inicial"
"29","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"30","2007"," capital inicial 18 ",16,"F#m","A","capital inicial"
"31","2007"," capital inicial 18 ",16,"A","A","capital inicial"
"32","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"33","2007"," capital inicial 18 ",16,"F#m","A","capital inicial"
"34","2007"," capital inicial 18 ",16,"D","A","capital inicial"
"35","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"36","2007"," capital inicial 18 ",16,"D","A","capital inicial"
"37","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"38","2007"," capital inicial 18 ",16,"D","A","capital inicial"
"39","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"40","2007"," capital inicial 18 ",16,"F#m","A","capital inicial"
"41","2007"," capital inicial 18 ",16,"D","A","capital inicial"
"42","2007"," capital inicial 18 ",16,"E","A","capital inicial"
"43","2007"," capital inicial 18 ",16,"D","A","capital inicial"
