"date","musica","popul","cifra","tom","autor"
"1","0"," cassia eller i can get no satisfaction ",0,"E","E","cassia eller"
"2","0"," cassia eller i can get no satisfaction ",0,"A","E","cassia eller"
"3","0"," cassia eller i can get no satisfaction ",0,"E","E","cassia eller"
"4","0"," cassia eller i can get no satisfaction ",0,"A","E","cassia eller"
"5","0"," cassia eller i can get no satisfaction ",0,"E","E","cassia eller"
"6","0"," cassia eller i can get no satisfaction ",0,"B7","E","cassia eller"
"7","0"," cassia eller i can get no satisfaction ",0,"E","E","cassia eller"
"8","0"," cassia eller i can get no satisfaction ",0,"A","E","cassia eller"
"9","0"," cassia eller i can get no satisfaction ",0,"E","E","cassia eller"
"10","0"," cassia eller i can get no satisfaction ",0,"A","E","cassia eller"
"11","0"," cassia eller i can get no satisfaction ",0,"E","E","cassia eller"
"12","0"," cassia eller i can get no satisfaction ",0,"A","E","cassia eller"
"13","0"," cassia eller i can get no satisfaction ",0,"E","E","cassia eller"
"14","0"," cassia eller i can get no satisfaction ",0,"A","E","cassia eller"
"15","0"," cassia eller i can get no satisfaction ",0,"E","E","cassia eller"
"16","0"," cassia eller i can get no satisfaction ",0,"A","E","cassia eller"
"17","0"," cassia eller i can get no satisfaction ",0,"E","E","cassia eller"
"18","0"," cassia eller i can get no satisfaction ",0,"A","E","cassia eller"
"19","0"," cassia eller i can get no satisfaction ",0,"E","E","cassia eller"
"20","0"," cassia eller i can get no satisfaction ",0,"A","E","cassia eller"
"21","0"," cassia eller i can get no satisfaction ",0,"E","E","cassia eller"
"22","0"," cassia eller i can get no satisfaction ",0,"A","E","cassia eller"
"23","0"," cassia eller i can get no satisfaction ",0,"E","E","cassia eller"
"24","0"," cassia eller i can get no satisfaction ",0,"A","E","cassia eller"
"25","0"," cassia eller i can get no satisfaction ",0,"E","E","cassia eller"
"26","0"," cassia eller i can get no satisfaction ",0,"A","E","cassia eller"
"27","0"," cassia eller i can get no satisfaction ",0,"E","E","cassia eller"
"28","0"," cassia eller i can get no satisfaction ",0,"A","E","cassia eller"
"29","0"," cassia eller 1o de julho ",0,"D","G","cassia eller"
"30","0"," cassia eller 1o de julho ",0,"C9","G","cassia eller"
"31","0"," cassia eller 1o de julho ",0,"Am7","G","cassia eller"
"32","0"," cassia eller 1o de julho ",0,"A5/F","G","cassia eller"
"33","0"," cassia eller 1o de julho ",0,"D","G","cassia eller"
"34","0"," cassia eller 1o de julho ",0,"C9","G","cassia eller"
"35","0"," cassia eller 1o de julho ",0,"Am7","G","cassia eller"
"36","0"," cassia eller 1o de julho ",0,"A5/F","G","cassia eller"
"37","0"," cassia eller 1o de julho ",0,"D","G","cassia eller"
"38","0"," cassia eller 1o de julho ",0,"C","G","cassia eller"
"39","0"," cassia eller 1o de julho ",0,"Am","G","cassia eller"
"40","0"," cassia eller 1o de julho ",0,"G","G","cassia eller"
"41","0"," cassia eller 1o de julho ",0,"D","G","cassia eller"
"42","0"," cassia eller 1o de julho ",0,"C","G","cassia eller"
"43","0"," cassia eller 1o de julho ",0,"Am","G","cassia eller"
"44","0"," cassia eller 1o de julho ",0,"G","G","cassia eller"
"45","0"," cassia eller 1o de julho ",0,"D","G","cassia eller"
"46","0"," cassia eller 1o de julho ",0,"C","G","cassia eller"
"47","0"," cassia eller 1o de julho ",0,"Am","G","cassia eller"
"48","0"," cassia eller 1o de julho ",0,"G","G","cassia eller"
"49","0"," cassia eller 1o de julho ",0,"D","G","cassia eller"
"50","0"," cassia eller 1o de julho ",0,"C","G","cassia eller"
"51","0"," cassia eller 1o de julho ",0,"Am","G","cassia eller"
"52","0"," cassia eller 1o de julho ",0,"G","G","cassia eller"
"53","0"," cassia eller 1o de julho ",0,"D","G","cassia eller"
"54","0"," cassia eller 1o de julho ",0,"C","G","cassia eller"
"55","0"," cassia eller 1o de julho ",0,"Am","G","cassia eller"
"56","0"," cassia eller 1o de julho ",0,"G","G","cassia eller"
"57","0"," cassia eller 1o de julho ",0,"D","G","cassia eller"
"58","0"," cassia eller 1o de julho ",0,"Bm","G","cassia eller"
"59","0"," cassia eller 1o de julho ",0,"C","G","cassia eller"
"60","0"," cassia eller 1o de julho ",0,"D","G","cassia eller"
"61","0"," cassia eller 1o de julho ",0,"D","G","cassia eller"
"62","0"," cassia eller 1o de julho ",0,"G","G","cassia eller"
"63","0"," cassia eller 1o de julho ",0,"Am7","G","cassia eller"
