"date","musica","popul","cifra","tom","autor"
"1","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"2","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"3","1989"," legiao urbana 1965 duas tribos ",37,"C9","G","legiao urbana"
"4","1989"," legiao urbana 1965 duas tribos ",37,"G/B","G","legiao urbana"
"5","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"6","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"7","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"8","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"9","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"10","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"11","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"12","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"13","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"14","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"15","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"16","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"17","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"18","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"19","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"20","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"21","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"22","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"23","1989"," legiao urbana 1965 duas tribos ",37,"C","G","legiao urbana"
"24","1989"," legiao urbana 1965 duas tribos ",37,"G/B","G","legiao urbana"
"25","1989"," legiao urbana 1965 duas tribos ",37,"C","G","legiao urbana"
"26","1989"," legiao urbana 1965 duas tribos ",37,"G/B","G","legiao urbana"
"27","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"28","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"29","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"30","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"31","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"32","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"33","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"34","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"35","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"36","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"37","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"38","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"39","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"40","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"41","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"42","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"43","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"44","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"45","1989"," legiao urbana 1965 duas tribos ",37,"C","G","legiao urbana"
"46","1989"," legiao urbana 1965 duas tribos ",37,"G/B","G","legiao urbana"
"47","1989"," legiao urbana 1965 duas tribos ",37,"C","G","legiao urbana"
"48","1989"," legiao urbana 1965 duas tribos ",37,"G/B","G","legiao urbana"
"49","1989"," legiao urbana 1965 duas tribos ",37,"A7","G","legiao urbana"
"50","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"51","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"52","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"53","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"54","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"55","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"56","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"57","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"58","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"59","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"60","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"61","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"62","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"63","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"64","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"65","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"66","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"67","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"68","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"69","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"70","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"71","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"72","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"73","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"74","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"75","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"76","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"77","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"78","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"79","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"80","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"81","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"82","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"83","1989"," legiao urbana 1965 duas tribos ",37,"C","G","legiao urbana"
"84","1989"," legiao urbana 1965 duas tribos ",37,"G/B","G","legiao urbana"
"85","1989"," legiao urbana 1965 duas tribos ",37,"C","G","legiao urbana"
"86","1989"," legiao urbana 1965 duas tribos ",37,"G/B","G","legiao urbana"
"87","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"88","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"89","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"90","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"91","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"92","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
"93","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"94","1989"," legiao urbana 1965 duas tribos ",37,"G","G","legiao urbana"
"95","1989"," legiao urbana 1965 duas tribos ",37,"D","G","legiao urbana"
"96","1989"," legiao urbana 1965 duas tribos ",37,"Am","G","legiao urbana"
