"date","musica","popul","cifra","tom","autor"
"1","0"," nx zero 18 anos ",0,"G","G","nx zero"
"2","0"," nx zero 18 anos ",0,"C","G","nx zero"
"3","0"," nx zero 18 anos ",0,"G","G","nx zero"
"4","0"," nx zero 18 anos ",0,"D","G","nx zero"
"5","0"," nx zero 18 anos ",0,"G","G","nx zero"
"6","0"," nx zero 18 anos ",0,"C","G","nx zero"
"7","0"," nx zero 18 anos ",0,"G","G","nx zero"
"8","0"," nx zero 18 anos ",0,"D","G","nx zero"
"9","0"," nx zero 18 anos ",0,"C9","G","nx zero"
"10","0"," nx zero 18 anos ",0,"G","G","nx zero"
"11","0"," nx zero 18 anos ",0,"D","G","nx zero"
"12","0"," nx zero 18 anos ",0,"C","G","nx zero"
"13","0"," nx zero 18 anos ",0,"Em","G","nx zero"
"14","0"," nx zero 18 anos ",0,"C","G","nx zero"
"15","0"," nx zero 18 anos ",0,"G","G","nx zero"
"16","0"," nx zero 18 anos ",0,"D","G","nx zero"
"17","0"," nx zero 18 anos ",0,"C","G","nx zero"
"18","0"," nx zero 18 anos ",0,"G","G","nx zero"
"19","0"," nx zero 18 anos ",0,"C","G","nx zero"
"20","0"," nx zero 18 anos ",0,"G","G","nx zero"
"21","0"," nx zero 18 anos ",0,"D","G","nx zero"
"22","0"," nx zero 18 anos ",0,"G","G","nx zero"
"23","0"," nx zero 18 anos ",0,"C","G","nx zero"
"24","0"," nx zero 18 anos ",0,"G","G","nx zero"
"25","0"," nx zero 18 anos ",0,"D","G","nx zero"
"26","0"," nx zero 18 anos ",0,"G","G","nx zero"
"27","0"," nx zero 18 anos ",0,"C","G","nx zero"
"28","0"," nx zero 18 anos ",0,"G","G","nx zero"
"29","0"," nx zero 18 anos ",0,"C","G","nx zero"
"30","0"," nx zero 18 anos ",0,"G","G","nx zero"
"31","0"," nx zero 18 anos ",0,"C","G","nx zero"
"32","0"," nx zero 18 anos ",0,"G","G","nx zero"
"33","0"," nx zero 18 anos ",0,"D","G","nx zero"
"34","0"," nx zero 18 anos ",0,"C9","G","nx zero"
"35","0"," nx zero 18 anos ",0,"C9","G","nx zero"
"36","0"," nx zero 18 anos ",0,"G","G","nx zero"
"37","0"," nx zero 18 anos ",0,"D","G","nx zero"
"38","0"," nx zero 18 anos ",0,"C","G","nx zero"
"39","0"," nx zero 18 anos ",0,"Em","G","nx zero"
"40","0"," nx zero 18 anos ",0,"C","G","nx zero"
"41","0"," nx zero 18 anos ",0,"G","G","nx zero"
"42","0"," nx zero 18 anos ",0,"D","G","nx zero"
"43","0"," nx zero 18 anos ",0,"C","G","nx zero"
"44","0"," nx zero a maquina sugar kane cover ",0,"Em","D","nx zero"
"45","0"," nx zero a maquina sugar kane cover ",0,"F#5","D","nx zero"
"46","0"," nx zero a maquina sugar kane cover ",0,"A5","D","nx zero"
"47","0"," nx zero a maquina sugar kane cover ",0,"F#5","D","nx zero"
"48","0"," nx zero a maquina sugar kane cover ",0,"A5","D","nx zero"
"49","0"," nx zero a maquina sugar kane cover ",0,"F#5","D","nx zero"
"50","0"," nx zero a maquina sugar kane cover ",0,"A5","D","nx zero"
"51","0"," nx zero a maquina sugar kane cover ",0,"F#5","D","nx zero"
"52","0"," nx zero a maquina sugar kane cover ",0,"A5","D","nx zero"
