"date","musica","popul","cifra","tom","autor"
"1","0"," pitty 20 passos ",0,"E","E","pitty"
"2","0"," pitty 20 passos ",0,"C7m","E","pitty"
"3","0"," pitty 20 passos ",0,"E","E","pitty"
"4","0"," pitty 20 passos ",0,"C7m","E","pitty"
"5","0"," pitty 20 passos ",0,"A","E","pitty"
"6","0"," pitty 20 passos ",0,"E","E","pitty"
"7","0"," pitty 20 passos ",0,"A","E","pitty"
"8","0"," pitty 20 passos ",0,"A9","E","pitty"
"9","0"," pitty 20 passos ",0,"E","E","pitty"
"10","2014-06-03"," pitty a massa ",32,"B5","E","pitty"
"11","2014-06-03"," pitty a massa ",32,"B5","E","pitty"
"12","2014-06-03"," pitty a massa ",32,"G#5","E","pitty"
"13","2014-06-03"," pitty a massa ",32,"A5","E","pitty"
"14","2014-06-03"," pitty a massa ",32,"B5","E","pitty"
"15","2014-06-03"," pitty a massa ",32,"B5","E","pitty"
"16","2014-06-03"," pitty a massa ",32,"G#5","E","pitty"
"17","2014-06-03"," pitty a massa ",32,"A5","E","pitty"
"18","2014-06-03"," pitty a massa ",32,"D","E","pitty"
"19","2014-06-03"," pitty a massa ",32,"F#5","E","pitty"
"20","2014-06-03"," pitty a massa ",32,"E5","E","pitty"
"21","2014-06-03"," pitty a massa ",32,"D","E","pitty"
"22","2014-06-03"," pitty a massa ",32,"F#5","E","pitty"
"23","2014-06-03"," pitty a massa ",32,"E","E","pitty"
"24","2014-06-03"," pitty a massa ",32,"D5","E","pitty"
"25","2014-06-03"," pitty a massa ",32,"D#5","E","pitty"
"26","2014-06-03"," pitty a massa ",32,"E5","E","pitty"
"27","2014-06-03"," pitty a massa ",32,"B5","E","pitty"
"28","2014-06-03"," pitty a massa ",32,"B5","E","pitty"
"29","2014-06-03"," pitty a massa ",32,"D","E","pitty"
"30","2014-06-03"," pitty a massa ",32,"F#5","E","pitty"
"31","2014-06-03"," pitty a massa ",32,"E5","E","pitty"
"32","2014-06-03"," pitty a massa ",32,"D","E","pitty"
"33","2014-06-03"," pitty a massa ",32,"F#5","E","pitty"
"34","2014-06-03"," pitty a massa ",32,"E","E","pitty"
"35","2014-06-03"," pitty a massa ",32,"D5","E","pitty"
"36","2014-06-03"," pitty a massa ",32,"D#5","E","pitty"
"37","2014-06-03"," pitty a massa ",32,"E5","E","pitty"
"38","2014-06-03"," pitty a massa ",32,"F#m","E","pitty"
"39","2014-06-03"," pitty a massa ",32,"D","E","pitty"
"40","2014-06-03"," pitty a massa ",32,"F#5","E","pitty"
"41","2014-06-03"," pitty a massa ",32,"E5","E","pitty"
"42","2014-06-03"," pitty a massa ",32,"D","E","pitty"
